Date,Open,High,Low,Close,Volume,OpenInt
20100211,323.32,324.36,310.32,312.04,1203,0
20100212,321.44,323.88,314.92,317.8,903,0
20100216,309.52,309.76,298.36,299.48,1526,0
20100217,296.92,297.76,293.92,295.4,1434,0
20100218,296.56,296.56,287.2,287.76,5921,0
20100219,289.84,291.72,283.88,286.96,14073,0
20100222,283.88,288.88,283.88,288.48,2401,0
20100223,289.52,296.76,285.84,296.52,8439,0
20100224,293.52,295.12,286.88,288.6,12076,0
20100225,301.64,303.52,292.36,292.36,11387,0
20100226,291.84,296.6,290.12,292.36,8901,0
20100301,288.84,289.88,284.96,285.96,5132,0
20100302,284,286.36,281.8,286.12,7023,0
20100303,283.56,287.44,280.8,286.24,4453,0
20100304,284.56,285.6,282,282.2,3007,0
20100305,280,280,271.96,272.32,20356,0
20100308,272.24,273.44,272.24,273.36,2017,0
20100309,273.6,273.88,269.6,272.16,5292,0
20100310,271.4,273.64,269.6,271.64,4775,0
20100311,272.84,275.56,268.04,268.04,6453,0
20100312,264.68,268.96,264.68,267.08,11019,0
20100315,267.68,270.16,265.56,265.68,3320,0
20100316,264.44,266.92,261.76,261.76,7789,0
20100317,260.44,260.44,256.36,259.12,4425,0
20100318,258.04,258.32,255.16,255.52,4522,0
20100319,252.88,260.92,252.72,258.36,9195,0
20100322,260.96,261.32,253.56,254.48,8098,0
20100323,253.48,254.44,247.48,247.8,8766,0
20100324,249.68,251.68,247.96,250.96,4321,0
20100325,246.44,251.04,243.2,250.56,7975,0
20100326,249.2,251.92,246.32,249.8,4760,0
20100329,247.56,247.84,245.88,246.68,5054,0
20100330,246.88,248.08,238.16,246.44,3301,0
20100331,247.56,250.72,246.56,249.64,8275,0
20100401,244.56,248.48,242.6,244.4,4803,0
20100405,242.44,244.48,240.52,241.4,3398,0
20100406,243.52,244.08,240.52,241.68,9823,0
20100407,243.32,248.72,241.64,246.16,4984,0
20100408,248.32,249.48,242.48,243.72,4527,0
20100409,242.6,243.2,239.2,239.32,4325,0
20100412,238.2,239.32,237.08,239.12,3013,0
20100413,239.44,242.4,236.84,238,3456,0
20100414,235.44,235.6,231,231.24,5781,0
20100415,232.04,232.2,229,229.64,7758,0
20100416,230.88,240,230,237.24,11622,0
20100419,239.4,240,232.68,232.8,6663,0
20100420,230.68,233,229.56,231.52,4704,0
20100421,231.12,233.68,229,230.88,6456,0
20100422,234.92,237.16,229,229.88,5918,0
20100423,230.32,231.04,225.68,225.72,7847,0
20100426,223.92,225.28,222.64,225.28,3313,0
20100427,227,239.12,221.84,238.28,11501,0
20100428,235.12,239.64,232.88,235.12,10874,0
20100429,231.72,231.72,225.2,227.32,5327,0
20100430,226.12,236.92,224.04,236.52,13669,0
20100503,232.72,233.2,225.8,227.32,5866,0
20100504,233.72,242.92,233.72,241.08,13891,0
20100505,246.04,247.8,239.6,244.8,24800,0
20100506,246.92,316,200,267.64,52878,0
20100507,270.4,288.4,263.4,278.56,52919,0
20100510,248.96,253.32,242.08,245.6,38801,0
20100511,251.72,252.44,239.48,248,17789,0
20100512,245.52,245.8,236.52,236.92,10777,0
20100513,239.24,245,235.56,244.92,12732,0
20100514,249.08,260.84,248.2,255.76,22738,0
20100517,254.04,268.16,252.36,254.72,24545,0
20100518,249.8,264.8,248.32,262.64,22680,0
