Date,Open,High,Low,Close,Volume,OpenInt
20110509,22.464,22.482,22.464,22.482,660,0
20110510,22.723,22.796,22.723,22.777,10729,0
20110511,22.763,22.772,22.609,22.655,31975,0
20110512,22.695,22.96,22.686,22.96,9041,0
20110513,22.95,22.95,22.787,22.86,14469,0
20110516,22.886,22.905,22.805,22.805,11254,0
20110517,22.768,22.879,22.768,22.879,18692,0
20110518,22.969,22.969,22.842,22.842,2218,0
20110519,22.995,23.076,22.923,22.941,7524,0
20110520,22.918,23.045,22.874,22.955,17406,0
20110523,22.796,22.796,22.723,22.723,12107,0
20110524,22.86,22.86,22.695,22.731,11620,0
20110525,22.704,22.704,22.535,22.686,14051,0
20110526,22.661,22.695,22.543,22.669,10217,0
20110527,22.819,22.819,22.717,22.763,18357,0
20110531,22.938,22.938,22.828,22.92,4908,0
20110601,22.932,22.932,22.652,22.652,36953,0
20110602,22.704,22.704,22.508,22.517,6727,0
20110603,22.33,22.411,22.265,22.302,12095,0
20110606,22.235,22.346,22.191,22.199,10272,0
20110607,22.33,22.339,22.247,22.302,3094,0
20110608,22.158,22.284,22.158,22.247,899,0
20110609,22.21,22.392,22.21,22.33,659749,0
20110610,22.33,22.33,22.102,22.102,116240,0
20110613,22.023,22.228,22.023,22.167,21411,0
20110614,22.348,22.366,22.219,22.311,27872,0
20110615,22.201,22.247,21.995,22.04,28143,0
20110616,22.16,22.194,22.077,22.16,21642,0
20110617,22.411,22.411,22.238,22.274,48838,0
20110620,22.284,22.429,22.265,22.402,38150,0
20110621,22.556,22.556,22.42,22.502,33015,0
20110622,22.502,22.502,22.42,22.429,218315,0
20110623,22.302,22.302,22.049,22.167,110012,0
20110624,22.284,22.339,22.158,22.193,18806,0
20110627,22.238,22.339,22.21,22.302,70491,0
20110628,22.383,22.429,22.366,22.429,79391,0
20110629,22.574,22.574,22.448,22.538,696723,0
20110630,22.631,22.668,22.53,22.659,218762,0
20110701,22.705,22.917,22.662,22.907,270859,0
20110705,22.917,22.926,22.798,22.817,509562,0
20110706,22.816,22.944,22.816,22.925,289278,0
20110707,23.117,23.117,22.99,23.026,117933,0
20110708,22.889,22.926,22.844,22.926,37781,0
20110711,22.772,22.772,22.664,22.689,15572,0
20110712,22.652,22.853,22.652,22.732,21547,0
20110713,22.8,22.874,22.673,22.673,33924,0
20110714,22.791,22.809,22.583,22.6,75770,0
20110715,22.662,22.662,22.543,22.543,10370,0
20110718,22.454,22.463,22.344,22.435,2489086,0
20110719,22.551,22.679,22.507,22.652,591919,0
20110720,22.696,22.715,22.606,22.644,66131,0
20110721,22.807,22.954,22.752,22.944,115840,0
20110722,22.944,22.944,22.798,22.826,86077,0
20110725,22.687,22.798,22.68,22.733,17580,0
20110726,22.754,22.754,22.635,22.635,81187,0
20110727,22.653,22.653,22.389,22.416,700784,0
20110728,22.353,22.444,22.241,22.241,29788,0
20110729,22.138,22.276,22.047,22.129,45359,0
20110801,22.326,22.326,21.862,22.027,152968,0
20110802,21.932,21.97,21.667,21.676,38811,0
20110803,21.643,21.733,21.463,21.733,154865,0
20110804,21.63,21.63,20.993,20.993,231141,0
20110805,21.284,21.348,20.782,21.229,801256,0
20110808,21.143,21.143,20.098,20.153,241647,0
20110809,20.408,21.334,19.761,20.834,200121,0
20110810,20.499,20.761,20.171,20.199,390803,0
20110811,20.306,21.199,20.297,20.972,157701,0
20110812,21.156,21.213,20.555,21.11,110228,0
20110815,21.22,21.504,21.185,21.504,87371,0
20110816,21.357,21.495,21.265,21.449,98199,0
20110817,21.513,21.705,21.421,21.53,625081,0
20110818,21.203,21.22,20.846,21.047,245515,0
20110819,20.874,21.166,20.874,20.883,2670028,0
20110822,21.22,21.22,20.883,20.901,1170887,0
20110823,21.011,21.412,20.929,21.412,591632,0
20110824,21.421,21.72,21.357,21.705,181878,0
20110825,21.785,21.785,21.311,21.357,534379,0
20110826,21.275,21.612,21.038,21.513,104647,0
20110829,22.898,22.99,21.739,21.996,417140,0
20110830,21.941,22.132,21.832,22.032,233464,0
20110831,22.186,22.221,22.021,22.139,212224,0
20110901,22.178,22.277,21.96,21.978,304173,0
20110902,21.688,21.817,21.622,21.622,518054,0
20110906,21.173,21.522,21.117,21.512,199266,0
20110907,21.726,21.902,21.654,21.902,171561,0
20110908,21.84,22.033,21.813,21.813,89457,0
20110909,21.648,21.648,21.227,21.328,656870,0
20110912,21.166,21.449,21.038,21.421,1566730,0
20110913,21.494,21.593,21.328,21.556,733237,0
20110914,21.584,21.997,21.485,21.804,64027,0
20110915,21.979,22.078,21.859,22.059,97711,0
20110916,22.188,22.288,22.123,22.213,206119,0
20110919,22.095,22.204,21.895,22.087,124169,0
20110920,22.204,22.482,22.123,22.232,114857,0
20110921,22.25,33.422,21.738,21.785,197502,0
20110922,21.264,21.374,21.108,21.337,697354,0
20110923,21.291,21.522,21.245,21.42,238629,0
20110926,21.776,21.813,21.467,21.813,729197,0
20110927,22.142,22.232,21.914,21.942,741152,0
20110928,22.033,22.087,21.648,21.695,135753,0
20110929,21.96,22.041,21.639,21.914,200038,0
20110930,21.864,21.977,21.668,21.668,567746,0
20111003,21.685,22.142,21.201,21.211,953695,0
20111004,21.086,21.425,20.8,21.425,951394,0
20111005,21.526,21.552,21.278,21.544,668900,0
20111006,21.541,21.854,21.441,21.844,465854,0
20111007,21.967,22.039,21.735,21.792,537120,0
20111010,22.123,22.297,22.078,22.297,942324,0
20111011,22.241,22.241,22.132,22.179,327454,0
20111012,22.297,22.38,22.204,22.25,495028,0
20111013,22.17,22.269,22.059,22.223,303320,0
20111014,22.434,22.443,22.324,22.443,393131,0
20111017,22.453,22.453,22.194,22.23,775605,0
20111018,22.24,22.654,22.112,22.535,373623,0
20111019,22.526,22.726,22.415,22.453,746788,0
20111020,22.535,22.626,22.387,22.588,289643,0
20111021,22.828,22.993,22.8,22.993,993213,0
20111024,23.361,23.361,22.92,23.002,797182,0
20111025,22.92,22.939,22.671,22.707,416877,0
20111026,22.92,22.929,22.635,22.856,1001452,0
20111027,23.286,23.462,23.121,23.37,1392394,0
20111028,23.316,23.316,23.175,23.25,1979957,0
20111031,23.121,23.203,22.955,22.965,2044908,0
20111101,22.462,22.707,22.406,22.462,615032,0
20111102,22.744,23.03,22.616,22.735,709194,0
20111103,22.892,23.104,22.782,23.086,306695,0
20111104,22.896,22.979,22.728,22.961,325608,0
20111107,22.984,23.093,22.781,23.057,662057,0
20111108,23.131,23.26,22.949,23.26,1147545,0
20111109,22.902,22.968,22.626,22.671,551777,0
20111110,22.892,22.939,22.707,22.876,288434,0
20111111,23.114,23.316,23.058,23.175,457949,0
20111114,23.194,23.222,22.92,22.976,580102,0
20111115,22.958,23.168,22.885,23.049,839646,0
20111116,22.885,23.077,22.744,22.772,642361,0
20111117,22.726,22.829,22.471,22.598,3366688,0
20111118,22.716,22.958,22.607,22.681,378820,0
20111121,22.508,22.525,22.248,22.396,929907,0
20111122,22.387,22.406,22.201,22.267,1073789,0
20111123,22.129,22.129,21.909,21.947,1246298,0
20111125,21.9,22.129,21.9,21.993,325931,0
20111128,22.387,22.481,22.258,22.369,531154,0
20111129,22.443,22.616,22.415,22.525,357737,0
20111130,22.99,23.193,22.972,23.193,464468,0
20111201,23.149,23.39,23.041,23.185,863214,0
20111202,23.358,23.358,23.025,23.053,690568,0
20111205,23.372,23.372,23.095,23.213,400449,0
20111206,23.26,23.382,23.175,23.288,838829,0
20111207,23.245,23.368,23.099,23.311,852801,0
20111208,23.245,23.245,22.952,23.007,835606,0
20111209,23.108,23.302,23.072,23.273,332865,0
20111212,23.222,23.222,22.939,23.086,419365,0
20111213,23.179,23.283,22.971,23.044,427013,0
20111214,23.016,23.072,22.896,22.924,403455,0
20111215,23.044,23.227,23.044,23.145,714761,0
20111216,23.245,23.377,23.062,23.135,890739,0
20111219,23.255,23.413,22.952,23.007,655832,0
20111220,23.217,23.495,23.217,23.486,425367,0
20111221,23.56,23.753,23.524,23.753,563065,0
20111222,23.762,23.772,23.668,23.753,876147,0
20111223,23.819,23.939,23.772,23.939,386075,0
20111227,23.931,24.068,23.921,24.041,1407593,0
20111228,24.059,24.059,23.866,23.893,1224851,0
20111229,23.921,24.068,23.921,24.041,535671,0
20111230,24.052,24.061,23.92,23.92,643682,0
20120103,24.213,24.326,23.809,23.819,1110969,0
20120104,23.828,23.847,23.734,23.781,603639,0
20120105,23.706,23.8,23.579,23.79,2609816,0
20120106,23.74,23.816,23.649,23.684,1378825,0
20120109,23.715,23.734,23.616,23.706,498793,0
20120110,23.872,23.9,23.797,23.835,586469,0
20120111,23.797,23.797,23.731,23.778,1494187,0
20120112,23.863,23.882,23.74,23.816,886493,0
20120113,23.731,23.787,23.63,23.787,427741,0
20120117,23.962,24.008,23.822,23.86,1126545,0
20120118,23.872,23.937,23.778,23.937,668905,0
20120119,23.928,23.946,23.816,23.909,657532,0
20120120,23.937,23.946,23.816,23.937,659356,0
20120123,23.937,24.001,23.844,23.928,555461,0
20120124,23.844,23.844,23.778,23.806,432348,0
20120125,23.759,24.075,23.684,24.057,3784200,0
20120126,24.12,24.362,23.972,24.038,708151,0
20120127,24.001,24.001,23.787,23.863,5829490,0
20120130,23.759,23.769,23.64,23.731,1220905,0
20120131,23.824,23.872,23.679,23.785,423250,0
20120201,23.909,24.01,23.891,23.946,1283325,0
20120202,24.01,24.029,23.891,23.891,17117905,0
20120203,24.046,24.099,23.998,24.046,698354,0
20120206,23.991,24.01,23.937,23.964,516306,0
20120207,23.935,24.091,23.889,24.055,659438,0
20120208,24.063,24.063,23.953,24.046,1052053,0
20120209,24.008,24.036,23.935,24.036,596893,0
