Date,Open,High,Low,Close,Volume,OpenInt
20070201,963.66,964.5,953.4,953.4,80,0
20070202,954.93,956.31,945.63,945.63,180,0
20070205,943.83,945.21,939.93,943.53,340,0
20070206,930.51,934.38,917.73,917.73,460,0
20070207,924.24,924.24,886.5,886.5,493,0
20070208,895.11,902.31,883.17,902.04,4053,0
20070209,898.17,961.17,896.07,926.76,2133,0
20070212,944.94,964.5,944.94,961.71,3313,0
20070213,955.35,998.07,927.72,927.72,3987,0
20070214,934.11,940.08,917.88,937.29,1393,0
20070215,935.34,936.33,914.94,924.54,947,0
20070216,929.1,947.55,929.1,935.76,1380,0
20070220,937.71,945.06,914.55,917.4,16753,0
20070221,923.55,931.62,923.55,925.65,5440,0
20070222,922.86,940.08,922.02,935.91,3627,0
20070223,944.79,966.99,944.79,966.03,3993,0
20070226,960.33,1008.9,960.06,978.78,26293,0
20070227,998.49,1047.75,998.49,1047.75,5233,0
20070228,1026.93,1096.32,1003.08,1033.89,1513,0
20070301,1077.6,1083.84,1019.16,1031.52,1300,0
20070302,1057.05,1151.85,1042.2,1079.67,6293,0
20070305,1124.1,1163.79,1107.57,1159.47,5380,0
20070306,1120.62,1122,1074.81,1085.91,4573,0
20070307,1089.39,1116.87,1072.59,1116.87,3653,0
20070308,1081.08,1087.86,1062.9,1083.15,6373,0
20070309,1060.95,1073.16,1050.69,1060.26,3660,0
20070312,1063.71,1071.36,1034.01,1049.7,2013,0
20070313,1064.4,1110.36,1061.49,1110.21,5333,0
20070314,1106.04,1143.51,1087.32,1090.08,7660,0
20070315,1086.63,1111.59,1058.58,1074.42,6327,0
20070316,1079.67,1091.49,1067.19,1088.97,2693,0
20070319,1075.53,1079.4,1059,1062.33,1760,0
20070320,1070.67,1077.03,1054.41,1059.96,2000,0
20070321,1068.57,1077.33,1021.8,1026.93,2893,0
20070322,1019.04,1037.34,1019.04,1030.83,1347,0
20070323,1029.72,1029.87,1013.34,1025.55,1953,0
20070326,1029.72,1082.46,1027.77,1060.95,6580,0
20070327,1070.94,1092.45,1069.95,1088.85,3687,0
20070328,1110.21,1117.98,1081.08,1097.73,4540,0
20070329,1090.77,1104.66,1075.53,1092.72,3120,0
20070330,1093.71,1095.21,1068.57,1073.01,1780,0
20070402,1072.74,1076.07,1051.92,1057.35,2320,0
20070403,1043.61,1045.86,1026.93,1034.01,3333,0
20070404,1038.33,1058.46,1035.69,1049.28,1993,0
20070405,1046.1,1048.86,1041.96,1047.06,353,0
20070409,1049.85,1050.12,1043.19,1050.12,1433,0
20070410,1041.24,1048.59,1030.68,1042.2,6680,0
20070411,1044.42,1081.89,1044.42,1076.73,7340,0
20070412,1093.56,1096.32,1083,1087.74,3640,0
20070413,1086.9,1092.03,1060.95,1064.82,5640,0
20070416,1055.82,1076.64,1048.92,1059.96,2933,0
20070417,1060.11,1060.11,1023.6,1032.51,6653,0
20070418,1039.56,1042.77,1031.67,1040.13,2233,0
20070419,1058.04,1058.04,1047.75,1056.78,1673,0
20070420,1037.07,1046.1,1033.05,1040.82,2207,0
20070423,1021.53,1049.01,1010.28,1017.09,6233,0
20070424,1019.16,1043.61,1019.16,1033.32,2067,0
20070425,1013.49,1051.65,1013.34,1033.47,2367,0
20070426,1026.81,1043.46,1022.22,1032.36,1780,0
20070427,1039.02,1039.86,1020,1030.29,1340,0
20070430,1035.27,1074.81,1033.47,1074.81,2180,0
