Date,Open,High,Low,Close,Volume,OpenInt
20060621,64.396,65.238,64.346,64.963,282662,0
20060622,64.583,64.583,63.836,64.268,139241,0
20060623,63.885,64.845,63.717,64.258,45461,0
20060626,64.277,64.66,64.062,64.631,38428,0
20060627,64.835,64.835,63.482,63.482,116917,0
20060628,63.678,64.228,63.326,64.052,43422,0
20060629,64.963,66.769,64.855,66.769,68092,0
20060630,67.24,67.317,66.731,66.731,92352,0
20060703,67.093,67.642,67.014,67.642,28948,0
20060705,66.917,67.024,66.219,66.741,75433,0
20060706,66.956,67.416,66.741,66.946,118856,0
20060707,66.455,67.034,65.847,66.181,72474,0
20060710,66.731,66.985,66.053,66.298,73394,0
20060711,66.004,66.907,65.474,66.858,196221,0
20060712,66.789,66.809,65.267,65.543,130677,0
20060713,64.66,64.973,63.512,63.56,177160,0
20060714,63.365,63.551,62.237,62.992,154023,0
20060717,63.08,63.415,62.5,62.924,58001,0
20060718,63.365,64.189,61.884,63.022,208862,0
20060719,63.6,65.592,63.58,65.189,223234,0
20060720,65.778,65.867,64.277,64.425,117531,0
20060721,63.865,64.15,63.149,63.405,130882,0
20060724,64.023,65.543,64.023,65.415,135980,0
20060725,65.287,66.583,64.983,66.239,174714,0
20060726,65.818,66.809,65.543,66.367,140872,0
20060727,66.858,67.054,65.464,65.729,182460,0
20060728,66.063,67.465,66.013,67.23,115084,0
20060731,67.23,67.23,66.799,67.054,57900,0
20060801,66.317,66.818,65.818,66.445,53310,0
20060802,67.112,67.731,66.799,66.956,74716,0
20060803,66.317,67.79,66.317,67.297,91841,0
20060804,68.771,68.82,66.681,67.278,175427,0
20060807,66.868,67.181,66.593,66.907,50050,0
20060808,67.416,67.544,66.063,66.357,58816,0
20060809,66.966,67.652,65.778,65.847,71046,0
20060810,65.69,66.554,65.425,66.436,165030,0
20060811,66.317,66.317,65.504,65.945,124257,0
20060814,66.769,67.916,65.984,66.181,98467,0
20060815,67.201,67.956,67.034,67.799,86032,0
20060816,68.281,69.055,68.202,68.937,114164,0
20060817,68.917,69.584,68.761,69.222,194081,0
20060818,69.447,69.683,68.771,69.506,84707,0
20060821,69.045,69.359,68.957,69.173,41384,0
20060822,69.104,69.644,68.82,69.29,70843,0
20060823,69.389,69.594,68.281,68.662,63505,0
20060824,69.144,69.144,68.485,68.917,89701,0
20060825,68.81,69.359,68.662,69.045,40468,0
20060828,68.976,69.879,68.781,69.634,70743,0
20060829,69.584,69.986,68.927,69.966,60343,0
20060830,70.232,70.232,68.888,69.956,29968,0
20060831,69.732,70.045,69.683,69.898,28235,0
20060901,70.183,70.684,69.976,70.605,57695,0
20060905,70.566,70.979,70.34,70.743,62690,0
20060906,70.35,70.35,69.32,69.496,57387,0
20060907,68.878,69.496,68.534,68.8,64830,0
20060908,68.986,69.417,68.761,69.29,57387,0
20060911,68.878,69.693,68.398,69.271,33333,0
20060912,69.456,70.752,69.456,70.624,68501,0
20060913,70.812,71.43,70.536,71.321,40571,0
20060914,71.085,71.144,70.713,70.979,51069,0
20060915,71.91,72.135,71.311,71.585,63505,0
20060918,71.449,71.949,71.252,71.575,34553,0
20060919,71.37,71.595,70.487,71.105,102239,0
20060920,71.989,72.214,71.595,71.969,79104,0
20060921,72.321,72.321,70.92,71.193,52497,0
20060922,71.183,71.183,70.36,70.802,35676,0
20060925,71.43,72.38,70.536,72.115,83279,0
20060926,72.174,73.117,72.018,73.068,77876,0
20060927,73.274,73.5,72.842,73.244,88784,0
20060928,73.637,74.009,72.911,73.48,90619,0
20060929,73.451,73.568,73.098,73.185,48114,0
20061002,73.107,73.343,72.459,72.577,45768,0
20061003,72.548,73.323,72.115,72.832,48621,0
20061004,72.861,74.647,72.538,74.628,106622,0
20061005,74.773,75.098,74.451,74.901,70233,0
20061006,74.234,74.716,74.068,74.677,167069,0
20061009,74.451,74.921,74.244,74.755,41691,0
20061010,74.735,75.098,74.49,74.98,42099,0
20061011,74.46,75.039,73.93,74.677,57185,0
20061012,75.187,76.117,74.999,76.021,153103,0
20061013,75.864,76.431,75.727,76.372,60548,0
20061016,76.157,76.766,76.147,76.609,62588,0
20061017,76.04,76.363,75.274,76.226,164723,0
20061018,77.021,77.031,75.668,76.206,152697,0
20061019,75.991,76.51,75.834,76.343,81242,0
20061020,76.402,76.952,75.893,76.451,53515,0
20061023,76.04,77.452,75.932,77.159,130066,0
20061024,77.228,77.501,76.883,77.501,54330,0
20061025,77.501,78.12,77.267,77.943,92657,0
20061026,78.512,78.786,77.659,78.609,136997,0
20061027,77.923,78.482,77.247,77.58,109273,0
20061030,77.178,77.816,76.991,77.481,94287,0
20061031,77.767,77.806,76.786,77.228,127315,0
20061101,77.865,77.923,76.117,76.304,128742,0
20061102,75.903,76.392,75.688,76.245,113860,0
20061103,76.766,76.766,75.589,75.776,133635,0
20061106,76.5,77.855,76.333,77.619,106011,0
20061107,77.629,78.727,77.56,78.022,116815,0
20061108,77.364,78.678,77.09,78.531,104787,0
20061109,78.629,78.707,77.383,77.629,109983,0
20061110,77.747,77.816,77.198,77.767,56981,0
20061113,77.54,78.57,77.501,78.09,83587,0
20061114,78.629,79.376,77.59,79.199,169821,0
20061115,79.179,80.17,79.179,79.759,184091,0
20061116,80.052,80.465,79.836,80.101,170027,0
20061117,79.356,80.111,79.356,80.081,58611,0
20061120,79.866,80.406,79.719,80.042,94084,0
20061121,80.091,80.317,79.954,80.288,42914,0
20061122,80.475,80.847,80.199,80.63,41488,0
20061124,79.856,80.504,79.856,79.984,26707,0
20061127,79.709,79.826,77.59,77.865,282459,0
20061128,77.501,78.404,77.267,78.317,169615,0
20061129,79.041,79.954,78.894,79.749,180931,0
20061130,80.004,80.406,79.1,79.817,229454,0
20061201,79.856,80.081,78.179,79.454,167783,0
20061204,79.846,80.975,79.729,80.719,107336,0
20061205,80.994,81.485,80.719,81.376,102646,0
20061206,81.376,81.543,80.985,81.14,54842,0
20061207,81.514,81.828,80.534,80.554,67275,0
20061208,80.406,81.298,80.13,80.758,109983,0
20061211,80.945,81.494,80.768,81.179,53925,0
20061212,81.13,81.229,80.308,81.072,111616,0
20061213,81.68,81.68,80.955,81.406,67582,0
20061214,81.278,82.858,81.278,82.495,132310,0
20061215,83.034,83.309,82.662,82.838,96123,0
20061218,82.946,83.319,82.054,82.308,115489,0
20061219,81.543,82.975,81.307,82.76,156978,0
20061220,83.593,84.084,81.985,82.035,127010,0
20061221,82.133,82.338,81.13,81.543,85929,0
20061222,81.327,81.327,80.386,80.386,89600,0
20061226,80.563,81.455,80.514,81.455,55451,0
20061227,81.956,82.643,81.7,82.593,110395,0
20061228,82.406,82.593,81.907,82.26,61262,0
20061229,82.123,82.406,81.327,81.416,66052,0
20070103,82.133,82.535,80.052,80.847,243111,0
20070104,80.699,81.739,80.081,81.298,158813,0
20070105,80.679,80.798,79.856,79.935,240565,0
20070108,80.278,80.994,79.63,80.563,231898,0
20070109,80.798,80.945,79.768,80.494,280217,0
20070110,79.944,80.945,79.63,80.847,190208,0
20070111,81.034,82.24,80.945,81.818,266656,0
20070112,81.67,82.779,81.651,82.779,138120,0
20070116,82.643,82.926,82.318,82.662,142399,0
20070117,82.623,83.113,82.367,82.623,108662,0
20070118,82.692,82.809,81.769,81.936,183890,0
20070119,81.739,82.564,81.739,82.426,221910,0
20070122,82.485,82.485,81.288,81.534,180219,0
20070123,81.504,82.465,81.317,82.113,144337,0
20070124,82.367,83.427,82.338,83.398,148518,0
20070125,83.338,83.447,81.416,81.72,215898,0
20070126,81.887,81.887,80.857,81.504,269104,0
20070129,81.317,81.985,80.994,81.258,198160,0
20070130,81.494,82.171,81.317,82.123,153207,0
20070131,81.838,83.555,81.7,83.143,262072,0
20070201,83.711,84.281,83.378,84.114,146377,0
20070202,84.388,84.526,83.976,84.398,87867,0
20070205,84.339,84.497,83.809,84.281,67991,0
20070206,84.438,84.634,83.819,84.281,110803,0
20070207,84.664,85.006,84.232,84.575,85214,0
20070208,84.359,84.684,83.799,84.408,90313,0
20070209,84.546,84.908,82.653,83.407,139447,0
20070212,83.368,83.613,82.397,82.711,105909,0
20070213,83.143,83.976,83.143,83.956,145560,0
20070214,84.438,85.506,84.202,85.232,160037,0
20070215,85.173,85.506,84.938,85.232,113453,0
20070216,84.997,85.32,84.792,85.212,58816,0
20070220,85.125,85.792,84.467,85.624,110599,0
20070221,85.33,85.605,84.703,85.457,106420,0
20070222,85.703,85.958,84.664,85.31,59325,0
20070223,85.125,85.125,84.388,84.849,113044,0
20070226,85.418,85.418,84.005,84.634,123234,0
20070227,82.975,82.975,76.776,77.835,696002,0
20070228,79.011,80.592,78.16,79.405,482349,0
20070301,77.354,79.856,76.412,79.13,556862,0
20070302,78.55,79.061,76.883,76.883,458803,0
20070305,75.991,77.757,75.363,75.363,546364,0
20070306,76.638,78.385,75.942,77.973,448305,0
20070307,77.826,78.776,77.57,77.629,311306,0
20070308,78.963,79.504,78.317,78.58,212942,0
20070309,79.68,79.768,78.297,79.021,149028,0
20070312,78.668,79.63,78.424,79.336,133940,0
20070313,78.345,79.031,76.098,76.098,461862,0
20070314,76.392,77.257,74.569,77.257,696307,0
20070315,77.159,78.041,76.932,77.609,203867,0
20070316,77.835,78.209,76.668,76.952,162278,0
20070319,77.865,78.875,77.737,78.835,169924,0
20070320,78.737,79.759,78.678,79.759,161053,0
20070321,80.091,82.643,79.562,82.387,503552,0
20070322,82.357,82.779,81.818,82.348,525569,0
20070323,82.23,82.926,82.211,82.367,160851,0
20070326,82.544,82.692,80.837,82.535,319052,0
20070327,81.622,81.798,80.994,81.485,243213,0
20070328,80.926,81.053,79.768,80.278,392748,0
20070329,81.13,81.13,79.621,80.426,424857,0
20070330,80.66,81.475,79.051,80.611,491012,0
20070402,80.67,81.004,79.905,80.798,240868,0
20070403,81.524,82.672,81.504,82.397,313140,0
20070404,82.406,82.682,82.084,82.495,91435,0
20070405,82.426,83.221,82.279,83.025,175528,0
20070409,83.583,83.623,82.956,83.26,279807,0
20070410,83.084,83.603,83.084,83.348,127010,0
20070411,83.486,83.486,82.133,82.416,202746,0
20070412,82.171,83.506,81.877,83.486,209983,0
20070413,83.525,84.094,82.965,84.094,140056,0
20070416,84.772,85.792,84.723,85.674,195202,0
20070417,86.037,86.438,85.674,86.085,124869,0
20070418,85.575,86.724,85.467,86.144,223437,0
20070419,85.3,86.419,85.3,86.193,272978,0
20070420,87.391,87.684,86.733,87.655,202441,0
20070423,87.546,87.871,87.047,87.224,112737,0
20070424,87.165,87.487,86.301,87.264,283888,0
20070425,87.92,88.99,87.331,88.773,236791,0
20070426,88.832,89.136,88.372,89.059,230981,0
20070427,88.273,89.019,87.969,88.754,207842,0
20070430,88.675,88.95,87.215,87.517,183788,0
20070501,87.635,87.763,86.527,87.733,357685,0
20070502,88.009,89.215,87.733,88.803,309318,0
20070503,88.96,89.725,88.96,89.609,322008,0
20070504,89.999,90.589,89.53,90.235,267167,0
20070507,90.421,90.609,90.244,90.294,117121,0
20070508,89.725,90.362,89.363,90.185,324354,0
20070509,89.911,90.991,89.784,90.784,265536,0
20070510,90.098,90.372,88.342,88.724,383677,0
20070511,88.862,90.108,88.813,90.108,262682,0
20070514,90.323,90.559,89.078,89.784,151576,0
20070515,90.049,91.118,89.294,89.54,343619,0
20070516,90.019,91.04,89.579,90.972,224560,0
20070517,90.609,91.363,90.402,90.745,268900,0
20070518,91.462,92.109,91.207,92.109,313651,0
20070521,92.119,92.864,91.981,91.981,323241,0
20070522,92.168,92.776,91.874,92.139,277158,0
20070523,92.56,93.149,91.864,92.04,391018,0
20070524,91.864,92.805,89.814,90.098,660123,0
20070525,90.648,91.255,90.343,90.804,208044,0
20070529,91.235,91.795,90.648,91.501,244436,0
20070530,90.49,93.012,90.431,93.012,312630,0
20070531,93.297,93.493,92.619,92.913,333323,0
20070601,93.629,94.111,93.051,93.639,255342,0
20070604,93.061,94.042,93.002,93.649,165132,0
20070605,93.149,93.473,92.217,92.903,350448,0
20070606,92.188,92.257,90.834,90.834,593357,0
20070607,90.579,91.09,87.595,87.763,1058578,0
