Date,Open,High,Low,Close,Volume,OpenInt
20140213,47.77,47.77,47.77,47.77,309,0
20140221,48.266,48.266,48.266,48.266,102,0
20140305,49.119,49.119,49.119,49.119,154,0
20140313,48.596,48.596,48.596,48.596,144,0
20140424,49.363,49.363,49.286,49.345,13951,0
20140425,49.12,49.12,49.12,49.12,102,0
20140429,49.422,49.422,49.383,49.383,410,0
20140501,49.831,49.841,49.617,49.617,986,0
20140512,49.89,49.909,49.812,49.85,32461,0
20140513,49.987,50.085,49.929,50.016,11299,0
20140715,51.812,51.841,51.783,51.792,614,0
20140717,51.832,51.832,51.421,51.421,2150,0
20140805,50.66,50.66,50.269,50.269,220,0
20140821,52.779,52.779,52.779,52.779,122,0
20140825,52.935,52.935,52.632,52.691,7269,0
20140826,52.701,53.082,52.701,52.945,1331,0
20140827,52.974,52.974,52.925,52.925,205,0
20140902,53.082,53.082,53.082,53.082,307,0
20140908,53.082,53.082,53.082,53.082,0,0
20140922,53.12,53.12,53.12,53.12,190,0
20140923,52.593,52.593,52.593,52.593,102,0
20140924,52.496,52.73,52.496,52.496,378,0
20140929,52.222,52.222,51.948,51.948,1435,0
20140930,52.384,52.384,52.384,52.384,629,0
20141001,52.228,52.228,52.228,52.228,103,0
20141002,51.365,51.365,51.365,51.365,103,0
20141003,52.1,52.1,52.1,52.1,333,0
20141010,50.66,50.66,50.66,50.66,197,0
20141014,49.65,49.65,49.474,49.621,527,0
20141017,49.611,49.611,49.611,49.611,379,0
20141023,51.561,51.561,51.542,51.542,680,0
20141024,51.649,51.649,51.649,51.649,366,0
20141031,53.443,53.55,53.423,53.55,716,0
20141103,53.756,53.952,53.756,53.952,366,0
20141107,53.972,53.972,53.972,53.972,294,0
20141114,54.138,54.138,54.138,54.138,181,0
20141118,54.471,54.471,54.471,54.471,117,0
20141124,55.079,55.079,55.079,55.079,181,0
20141125,55.059,55.079,55.059,55.059,204,0
20141126,54.961,54.961,54.961,54.961,312,0
20141202,55.001,55.118,55.001,55.118,5613,0
20141205,55.706,55.706,55.706,55.706,108,0
20141212,53.541,53.541,53.541,53.541,484,0
20141216,53.051,54.031,52.619,53.051,1001,0
20141226,56.167,56.167,56.167,56.167,1123,0
20150105,54.76,54.76,54.32,54.32,693,0
20150114,53.51,53.88,53.51,53.84,3249,0
