Date,Open,High,Low,Close,Volume,OpenInt
20071001,23.187,23.572,23.187,23.572,26000,0
20071002,23.728,23.728,23.572,23.618,55385,0
20071003,23.6,23.6,23.471,23.517,60081,0
20071004,23.591,23.618,23.517,23.581,47083,0
20071005,23.701,23.855,23.682,23.81,42930,0
20071008,23.701,23.801,23.609,23.646,35940,0
20071009,24.039,24.039,23.682,23.828,47518,0
20071010,23.773,23.838,23.701,23.81,28948,0
20071011,23.929,24.259,23.701,23.783,44569,0
20071012,23.819,23.92,23.783,23.865,45553,0
20071015,24.176,24.176,23.609,23.673,42822,0
20071016,23.618,23.618,23.499,23.508,32772,0
20071017,24.121,24.121,23.581,23.764,38452,0
20071018,23.563,23.655,23.535,23.636,44243,0
20071019,23.663,23.673,23.124,23.124,35722,0
20071022,22.978,23.206,22.978,23.087,30588,0
20071023,23.334,23.408,23.197,23.408,35065,0
20071024,23.288,23.37,23.023,23.37,36922,0
20071025,23.38,23.425,23.197,23.38,44789,0
20071026,23.627,23.682,23.49,23.682,27310,0
20071029,23.756,24.011,23.701,23.773,33209,0
20071030,23.682,23.718,23.627,23.636,43259,0
20071031,23.994,24.213,23.636,24.213,67510,0
20071101,23.883,23.883,23.307,23.307,33645,0
20071102,23.691,23.691,23.132,23.37,32007,0
20071105,23.142,23.316,23.096,23.243,14857,0
20071106,23.572,23.572,23.187,23.416,19662,0
20071107,23.526,23.526,22.877,22.877,25453,0
20071108,23.609,23.609,22.693,22.986,21363,0
20071109,23.334,23.334,22.602,22.73,21509,0
20071112,23.334,23.334,22.657,22.895,11212,0
20071113,23.014,23.014,22.693,23.014,9395,0
20071114,23.288,23.288,23.069,23.069,16495,0
20071115,23.161,23.161,22.62,22.712,20308,0
20071116,23.096,23.096,22.611,22.776,26347,0
20071119,22.895,22.895,22.327,22.392,14701,0
20071120,22.693,22.693,22.299,22.501,18030,0
20071121,22.693,22.693,22.171,22.181,15210,0
20071123,22.693,22.693,22.382,22.538,9642,0
20071126,22.584,22.923,22.19,22.19,34086,0
20071127,21.961,22.428,21.851,22.337,16168,0
20071128,22.62,22.986,22.62,22.978,16276,0
20071129,23.105,23.105,22.849,22.885,3913,0
20071130,23.132,23.142,22.986,22.986,15292,0
20071203,23.243,23.243,22.94,22.986,10487,0
20071204,23.243,23.243,22.784,22.849,19056,0
20071205,23.517,23.517,22.923,23.014,11252,0
20071206,22.95,23.233,22.95,23.233,4370,0
20071207,23.298,23.298,23.224,23.261,7974,0
20071210,23.408,23.435,23.389,23.389,7429,0
20071211,23.408,23.453,22.877,22.895,17915,0
20071212,23.545,23.545,23.06,23.132,7318,0
20071213,23.334,23.334,22.721,22.858,13764,0
20071214,22.584,22.748,22.584,22.592,8412,0
20071217,22.51,22.784,22.373,22.373,15839,0
20071218,22.464,22.464,22.236,22.437,7101,0
20071219,22.602,22.602,22.272,22.364,8957,0
20071220,22.51,22.51,22.282,22.409,8957,0
20071221,22.702,23.069,22.62,22.748,22613,0
20071224,23.646,23.646,22.657,22.904,5134,0
20071226,22.803,22.94,22.803,22.885,5024,0
20071227,22.885,22.895,22.712,22.748,4916,0
20071228,22.822,22.822,22.685,22.702,10268,0
20071231,22.675,22.693,22.547,22.565,14638,0
20080102,22.885,22.885,22.299,22.354,7756,0
20080103,22.428,22.491,22.327,22.327,6882,0
20080104,22.236,22.236,21.851,21.851,12564,0
20080107,21.979,22.016,21.833,21.897,11688,0
20080108,22.52,22.52,21.696,21.696,11798,0
20080109,21.65,21.833,21.595,21.824,8739,0
20080110,21.961,22.025,21.686,21.979,14966,0
20080111,21.787,21.806,21.604,21.677,9395,0
20080114,21.833,21.879,21.732,21.833,6118,0
20080115,21.65,21.65,21.43,21.448,3058,0
20080116,21.302,21.43,21.238,21.274,6118,0
20080117,21.302,21.302,20.735,20.735,12234,0
20080118,20.89,20.935,20.524,20.634,6991,0
20080122,19.718,20.45,19.617,20.349,15422,0
20080123,19.782,20.615,19.782,20.615,27419,0
20080124,20.726,20.844,20.707,20.826,14966,0
20080125,21.082,21.082,20.642,20.743,9504,0
20080128,20.688,20.89,20.615,20.781,6118,0
20080129,21.045,21.045,20.935,21.018,6991,0
20080130,20.973,21.256,20.935,21.009,3168,0
20080131,20.67,21.329,20.67,21.329,7209,0
20080201,21.348,21.549,21.321,21.549,8848,0
20080204,21.513,21.513,21.348,21.348,4916,0
20080205,21.513,21.513,20.726,20.726,8739,0
20080206,20.899,20.908,20.688,20.707,5462,0
20080207,20.524,20.716,20.488,20.606,16604,0
20080208,20.634,20.661,20.524,20.524,11252,0
20080211,20.524,20.68,20.46,20.68,6118,0
20080212,21.283,21.283,20.945,21,6336,0
20080213,21,21.128,20.963,21.128,4916,0
20080214,21.156,21.156,20.918,20.918,14857,0
20080215,20.899,20.899,20.743,20.872,9941,0
20080219,20.844,21.201,20.844,21.137,2732,0
20080220,20.781,21.073,20.781,21.073,11688,0
20080221,21.055,21.073,20.99,21.009,5024,0
20080222,20.981,20.981,20.743,20.798,9067,0
20080225,21.513,21.513,21.082,21.311,4697,0
20080226,21.238,21.567,21.238,21.513,7756,0
20080227,21.375,21.586,21.329,21.504,7429,0
20080228,21.357,21.458,21.283,21.366,5789,0
20080229,21.091,21.091,20.899,20.918,6446,0
20080303,20.808,20.853,20.716,20.771,3496,0
20080304,20.642,20.743,20.524,20.743,10378,0
20080305,20.826,20.908,20.726,20.789,6554,0
20080306,20.716,20.716,20.478,20.478,10815,0
20080307,20.277,20.533,20.14,20.332,4145,0
20080310,20.349,20.349,20.02,20.029,16604,0
20080311,20.414,20.56,20.24,20.505,6446,0
20080312,20.697,20.697,20.488,20.488,16276,0
20080313,20.488,20.67,20.267,20.661,9832,0
20080314,20.726,21.055,20.112,20.195,21192,0
20080317,19.792,20.048,19.746,20.011,23268,0
20080318,20.349,20.579,20.258,20.579,5900,0
20080319,20.735,20.735,20.195,20.195,8412,0
20080320,20.176,20.469,20.176,20.46,8193,0
20080324,20.277,20.927,20.277,20.798,9395,0
20080325,21.283,21.283,20.762,20.945,12234,0
20080326,20.844,20.844,20.798,20.835,4262,0
20080327,20.935,20.963,20.707,20.707,9067,0
20080328,20.707,20.844,20.542,20.542,12564,0
20080331,20.533,20.726,20.533,20.68,7101,0
20080401,21.018,21.329,20.99,21.238,29386,0
20080402,21.266,21.696,21.183,21.266,26872,0
20080403,21.137,21.384,21.137,21.293,6008,0
20080404,21.329,21.448,21.311,21.384,12017,0
20080407,21.467,21.485,21.329,21.357,9286,0
20080408,21.228,21.302,21.201,21.293,13873,0
20080409,21.302,21.302,21.036,21.082,9504,0
20080410,21.101,21.247,21.045,21.156,9504,0
20080411,21.045,21.055,20.597,20.918,17806,0
20080414,20.826,20.872,20.752,20.789,12213,0
20080415,20.973,21.146,20.789,20.89,25511,0
20080416,21.11,21.283,21.11,21.283,18538,0
20080417,21.247,21.266,21.128,21.266,21357,0
20080418,21.531,21.613,21.375,21.485,12666,0
20080421,21.448,21.559,21.448,21.559,6772,0
20080422,21.604,21.604,21.274,21.283,14654,0
20080423,21.458,21.458,21.274,21.375,16242,0
20080424,21.357,21.54,21.228,21.485,14080,0
20080425,21.961,21.961,21.439,21.641,13766,0
20080428,21.659,21.723,21.604,21.631,7827,0
20080429,21.513,21.559,21.494,21.54,14865,0
20080430,21.613,21.824,21.576,21.576,14375,0
20080501,21.622,21.751,21.622,21.751,13178,0
20080502,22.006,22.006,21.833,21.833,10125,0
20080505,23.609,23.609,21.796,21.851,15519,0
20080506,21.723,21.934,21.723,21.934,4619,0
20080507,21.934,21.934,21.741,21.768,8308,0
20080508,21.713,21.778,21.686,21.686,3148,0
20080509,21.65,21.668,21.559,21.586,6776,0
20080512,21.677,21.842,21.65,21.814,11356,0
20080513,21.833,21.833,21.713,21.759,9026,0
20080514,21.915,21.97,21.806,21.806,7647,0
20080515,21.86,22.061,21.86,22.061,4500,0
20080516,22.071,22.071,21.989,22.034,2951,0
20080519,22.135,22.263,22.08,22.08,7942,0
20080520,22.034,22.034,21.906,21.952,13599,0
20080521,21.952,21.989,21.65,21.677,10727,0
20080522,21.741,21.824,21.513,21.751,5640,0
20080523,21.696,21.696,21.513,21.549,7092,0
20080527,21.476,21.595,21.458,21.576,4900,0
20080528,21.559,21.641,21.238,21.641,5402,0
20080529,21.595,21.814,21.595,21.705,8243,0
20080530,21.741,21.751,21.677,21.741,5235,0
20080602,21.65,21.65,21.458,21.531,2753,0
20080603,21.65,21.659,21.42,21.559,12783,0
20080604,21.448,21.622,21.448,21.494,6646,0
20080605,21.549,21.906,21.549,21.906,4892,0
20080606,21.705,21.705,21.283,21.283,11425,0
20080609,21.384,21.403,21.146,21.238,13053,0
20080610,21.073,21.238,21.055,21.128,5805,0
20080611,21.082,21.146,20.853,21.146,4688,0
20080612,20.89,21.018,20.752,20.826,3147,0
20080613,20.981,21.128,20.954,21.128,9775,0
20080616,21.055,21.283,21.055,21.211,5382,0
20080617,21.329,21.559,21.128,21.128,7931,0
20080618,21,21.073,21,21.018,5765,0
20080619,20.945,21.119,20.872,20.945,1662,0
