Date,Open,High,Low,Close,Volume,OpenInt
20050225,0.22,0.22,0.2,0.21,71800,0
20050228,0.22,0.22,0.19,0.19,134300,0
20050301,0.2,0.2,0.19,0.19,46700,0
20050302,0.19,0.21,0.19,0.2,51000,0
20050303,0.13,0.21,0.13,0.19,168800,0
20050304,0.2,0.22,0.19,0.21,237100,0
20050307,0.21,0.26,0.2,0.24,638900,0
20050308,0.24,0.28,0.2,0.25,1219700,0
20050309,0.28,0.4,0.28,0.34,2719100,0
20050310,0.35,0.36,0.3,0.32,1057400,0
20050311,0.32,0.34,0.26,0.31,443900,0
20050314,0.3,0.32,0.28,0.29,248900,0
20050315,0.31,0.31,0.27,0.27,269300,0
20050316,0.26,0.29,0.25,0.26,485400,0
20050317,0.26,0.28,0.24,0.24,343000,0
20050318,0.25,0.28,0.25,0.28,420200,0
20050321,0.28,0.28,0.25,0.26,153800,0
20050322,0.27,0.3,0.26,0.28,196200,0
20050323,0.28,0.28,0.26,0.28,187600,0
20050324,0.28,0.29,0.26,0.28,260000,0
20050328,0.28,0.28,0.27,0.27,85200,0
20050329,0.27,0.29,0.27,0.27,84000,0
20050330,0.28,0.28,0.25,0.26,82500,0
20050331,0.26,0.26,0.24,0.25,70200,0
20050401,0.25,0.26,0.23,0.26,242400,0
20050404,0.26,0.29,0.25,0.27,147000,0
20050405,0.26,0.28,0.25,0.25,39100,0
20050406,0.26,0.27,0.24,0.26,95800,0
20050407,0.25,0.26,0.24,0.25,44500,0
20050408,0.25,0.26,0.24,0.25,19300,0
20050411,0.24,0.25,0.23,0.24,41800,0
20050412,0.23,0.25,0.23,0.24,26300,0
20050413,0.24,0.25,0.24,0.25,103400,0
20050414,0.25,0.25,0.23,0.25,35700,0
20050415,0.25,0.25,0.24,0.24,18300,0
20050418,0.25,0.25,0.25,0.25,3400,0
20050419,0.24,0.25,0.24,0.24,4000,0
20050420,0.24,0.25,0.23,0.25,84600,0
20050421,0.24,0.25,0.23,0.23,73300,0
20050422,0.23,0.26,0.23,0.24,323200,0
20050425,0.24,0.25,0.24,0.25,59600,0
20050426,0.24,0.25,0.24,0.25,22100,0
20050427,0.24,0.26,0.24,0.24,79700,0
20050428,0.26,0.26,0.23,0.26,123000,0
20050429,0.26,0.28,0.26,0.28,116800,0
20050502,0.28,0.28,0.25,0.26,162000,0
20050503,0.27,0.27,0.21,0.23,1209300,0
20050504,0.23,0.24,0.21,0.22,82800,0
20050505,0.22,0.23,0.21,0.22,63200,0
20050506,0.21,0.23,0.2,0.22,107400,0
20050509,0.23,0.26,0.21,0.23,135600,0
20050510,0.24,0.26,0.22,0.25,91500,0
20050511,0.25,0.25,0.24,0.24,9800,0
20050512,0.25,0.25,0.22,0.24,51900,0
20050513,0.23,0.24,0.21,0.22,71100,0
20050516,0.23,0.23,0.21,0.23,7100,0
20050517,0.23,0.23,0.21,0.22,9600,0
20050518,0.23,0.23,0.21,0.21,12000,0
20050519,0.22,0.24,0.21,0.24,63500,0
20050520,0.23,0.23,0.22,0.23,8000,0
20050523,0.23,0.23,0.22,0.22,10100,0
20050524,0.22,0.23,0.22,0.23,65500,0
20050525,0.22,0.23,0.22,0.22,14800,0
20050526,0.22,0.23,0.21,0.21,58600,0
20050527,0.22,0.23,0.22,0.23,21700,0
20050531,0.23,0.23,0.21,0.21,105300,0
20050601,0.22,0.22,0.21,0.22,73500,0
20050602,0.21,0.22,0.2,0.21,28900,0
20050603,0.21,0.22,0.2,0.22,28900,0
20050606,0.22,0.22,0.2,0.22,57700,0
20050607,0.22,0.22,0.2,0.2,141300,0
20050608,0.19,0.21,0.19,0.21,69100,0
20050609,0.2,0.21,0.19,0.21,37900,0
20050610,0.2,0.2,0.19,0.2,49700,0
20050613,0.2,0.21,0.19,0.19,47100,0
20050614,0.2,0.21,0.19,0.19,127100,0
20050615,0.19,0.23,0.19,0.22,247900,0
20050616,0.22,0.23,0.21,0.23,62400,0
20050617,0.23,0.23,0.21,0.21,95300,0
20050620,0.22,0.23,0.21,0.23,43600,0
20050621,0.22,0.23,0.22,0.22,81900,0
20050622,0.23,0.27,0.22,0.26,277500,0
20050623,0.26,0.29,0.25,0.27,327500,0
20050624,0.27,0.27,0.23,0.26,85600,0
20050627,0.26,0.27,0.24,0.25,71200,0
20050628,0.26,0.26,0.21,0.21,99500,0
20050629,0.23,0.24,0.22,0.23,141900,0
20050630,0.24,0.25,0.22,0.25,80800,0
20050701,0.25,0.25,0.24,0.24,63300,0
20050705,0.26,0.26,0.23,0.24,66600,0
20050706,0.22,0.23,0.22,0.22,29600,0
20050707,0.22,0.23,0.22,0.23,18500,0
