Date,Open,High,Low,Close,Volume,OpenInt
20110927,46.588,46.772,46.173,46.173,1862,0
20110928,45.998,46.259,45.979,46.259,310,0
20110929,45.389,45.756,44.8,45.544,26693,0
20110930,45.264,45.621,44.703,44.703,16968,0
20111003,44.065,44.635,43.079,43.079,30801,0
20111004,42.509,43.088,42.489,43.088,5380,0
20111007,45.389,45.427,45.235,45.427,4009,0
20111010,46.626,46.636,46.626,46.636,568,0
20111011,47.109,47.139,47.109,47.139,8070,0
20111013,47.506,47.506,47.486,47.486,413,0
20111014,47.96,48.395,47.96,48.395,518,0
20111017,47.516,47.564,47.467,47.467,2276,0
20111019,48.221,48.221,47.68,47.68,1070,0
20111020,47.467,47.467,47.167,47.167,413,0
20111021,48.52,48.52,48.52,48.52,103,0
20111026,48.83,49.536,48.83,49.536,9415,0
20111027,50.763,51.275,50.754,51.236,3621,0
20111028,51.305,51.305,51.305,51.305,13450,0
20111101,48.743,48.743,48.512,48.512,12726,0
20111102,48.956,49.429,48.956,49.429,22038,0
20111104,49.873,50.154,49.873,50.154,53179,0
20111107,50.26,50.367,50.26,50.367,2121,0
20111108,50.908,50.918,50.908,50.918,207,0
20111110,49.236,49.642,48.966,49.333,5866,0
20111111,50.338,50.338,50.338,50.338,828,0
20111114,49.845,49.845,49.845,49.845,2721,0
20111115,50.434,50.434,50.434,50.434,3010,0
20111116,50.309,50.309,50.232,50.232,5587,0
20111117,49.246,49.371,48.463,48.472,2861,0
20111118,48.656,49.274,48.637,49.274,6725,0
20111121,47.689,47.815,47.689,47.815,413,0
20111122,47.671,47.671,47.235,47.448,3415,0
20111123,46.558,46.558,46.423,46.423,11071,0
20111128,47.187,47.187,47.187,47.187,11484,0
20111129,47.738,47.766,47.574,47.574,4009,0
20111130,49.304,49.651,49.304,49.651,15530,0
20111201,49.873,50.019,49.865,50.01,9840,0
20111202,49.855,49.855,49.855,49.855,5690,0
20111205,50.097,50.097,50.097,50.097,8926,0
20111206,50.541,50.541,50.541,50.541,12312,0
20111207,50.619,50.619,50.579,50.579,15881,0
20111208,49.69,49.69,49.294,49.294,14112,0
20111209,50.038,50.386,50.01,50.386,39046,0
20111212,49.265,49.429,49.246,49.429,8530,0
20111213,49.835,49.835,48.734,48.734,10983,0
20111214,48.337,48.337,48.337,48.337,4956,0
20111215,48.569,48.569,48.512,48.512,26926,0
20111216,48.82,48.849,48.724,48.762,12705,0
20111219,49.865,49.865,48.028,48.153,16307,0
20111220,49.651,49.729,49.651,49.729,16037,0
20111221,49.439,50.105,49.178,50.105,33245,0
20111222,50.26,50.464,50.145,50.464,1100,0
20111223,50.589,50.589,50.579,50.579,39165,0
20111227,50.637,51.063,50.579,50.851,2897,0
20111228,51.468,51.468,49.835,49.873,14096,0
20111229,50.26,50.26,50.26,50.26,4138,0
20111230,50.367,50.454,50.357,50.357,26796,0
20120103,51.236,51.266,50.899,50.918,7430,0
20120104,50.589,50.928,50.589,50.782,8478,0
20120106,50.918,51.169,50.918,51.14,43493,0
20120109,50.841,50.841,50.841,50.841,808,0
20120110,49.304,51.778,49.304,51.662,6177,0
20120111,51.836,51.836,51.836,51.836,1035,0
