Date,Open,High,Low,Close,Volume,OpenInt
20050714,4.4389,4.4389,4.4389,4.4389,0,0
20050715,4.5806,4.722,4.5806,4.722,43046,0
20050718,4.722,5.8882,4.722,5.6881,35301,0
20050719,5.7215,5.7714,5.6384,5.755,16928,0
20050720,5.7714,5.7714,5.6384,5.7714,8286,0
20050721,5.7714,5.8049,5.7215,5.8049,17832,0
20050722,5.7215,5.8049,5.5551,5.8049,12607,0
20050725,5.8049,5.8297,5.8049,5.8049,1980,0
20050726,5.8214,5.8214,5.7215,5.7215,3605,0
20050727,5.8049,5.8297,5.6964,5.7714,14408,0
20050728,5.7714,5.7714,5.6634,5.7714,8825,0
20050729,5.7714,5.7714,5.6634,5.6881,6845,0
20050801,5.6881,5.6881,5.4383,5.5551,4141,0
20050802,5.6716,5.6716,5.605,5.605,5406,0
20050803,5.6384,5.6881,5.6384,5.6881,4864,0
20050804,5.6634,5.6881,5.5799,5.6881,22334,0
20050805,5.5799,5.5799,5.5799,5.5799,360,0
20050808,5.605,5.605,5.4383,5.5218,14229,0
20050809,5.4633,5.5551,5.4132,5.5551,8105,0
20050810,5.5551,5.5551,5.2884,5.5218,3240,0
20050812,5.4717,5.48,5.4717,5.4717,3422,0
20050815,5.4717,5.5218,5.2718,5.5218,3605,0
20050816,5.4132,5.4383,5.3051,5.3885,12426,0
20050817,5.3885,5.4383,5.2718,5.4383,4321,0
20050819,5.33,5.4383,5.2219,5.3384,5406,0
20050824,5.3467,5.3885,5.3467,5.3885,719,0
20050825,5.3885,5.3885,5.3885,5.3885,360,0
20050826,5.4383,5.4383,5.4383,5.4383,360,0
20050829,5.4967,5.4967,5.4967,5.4967,542,0
20050830,5.4132,5.4717,5.4132,5.4717,3240,0
20050901,5.4132,5.4132,5.4132,5.4132,360,0
20050902,5.4217,5.4217,5.4217,5.4217,1443,0
20050906,5.2718,5.4967,5.2718,5.4967,7925,0
20050907,5.4967,5.4967,5.3885,5.4383,4502,0
20050909,5.4132,5.4967,5.4132,5.4967,3605,0
20050912,5.4967,5.4967,5.4967,5.4967,2521,0
20050915,5.5051,5.5051,5.5051,5.5051,3605,0
20050916,5.3885,5.5551,5.3885,5.4383,4502,0
20050919,5.4467,5.4717,5.4467,5.4717,898,0
20050920,5.4717,5.4967,5.4717,5.4967,719,0
20050921,5.4967,5.4967,5.4967,5.4967,542,0
20050922,5.4967,5.4967,5.4967,5.4967,542,0
20050923,5.4967,5.5551,5.4967,5.4967,2161,0
20050927,5.4885,5.4885,5.4885,5.4885,1080,0
20050928,5.4383,5.6881,5.33,5.6881,5406,0
20050930,5.6881,5.6881,5.6881,5.6881,1980,0
20051003,5.6881,5.7215,5.5218,5.7215,5762,0
20051005,5.5551,5.5799,5.5551,5.5799,13507,0
20051007,5.5551,5.5551,5.5551,5.5551,1443,0
20051011,5.4717,5.4717,5.4717,5.4717,1801,0
20051012,5.4967,5.4967,5.4967,5.4967,542,0
20051013,5.4633,5.4633,5.4633,5.4633,542,0
20051017,5.4717,5.4717,5.4717,5.4717,360,0
20051018,5.605,5.605,5.605,5.605,360,0
20051019,5.6881,5.6881,5.6881,5.6881,542,0
20051020,5.7464,5.7464,5.7464,5.7464,2341,0
20051021,5.8049,5.8049,5.5551,5.5551,1080,0
20051024,5.5551,5.5551,5.5551,5.5551,898,0
20051025,5.5551,5.5551,5.4717,5.4717,6126,0
20051026,5.4717,5.4717,5.4717,5.4717,179,0
20051027,5.4467,5.4467,5.4467,5.4467,7204,0
20051102,5.4551,5.4551,5.3551,5.3551,1801,0
20051108,5.3885,5.3885,5.3885,5.3885,179,0
20051111,5.4967,5.4967,5.4383,5.4967,1624,0
20051114,5.605,5.605,5.4967,5.5384,8286,0
20051115,5.5218,5.5218,5.4551,5.5218,2699,0
20051116,5.5218,5.605,5.5218,5.605,1980,0
20051117,5.5551,5.605,5.5551,5.605,898,0
20051121,5.605,5.605,5.5551,5.5799,1262,0
20051122,5.5551,5.5551,5.5551,5.5551,542,0
20051125,5.4383,5.4967,5.4383,5.4967,1262,0
20051129,5.4551,5.4967,5.4467,5.4967,6304,0
20051130,5.5218,5.5218,5.5218,5.5218,898,0
20051201,5.5551,5.5551,5.5384,5.5551,9187,0
20051202,5.5384,5.5467,5.5384,5.5467,5406,0
20051209,5.5301,5.5467,5.4383,5.4967,44848,0
20051212,5.5551,5.5551,5.5551,5.5551,5406,0
20051213,5.4967,5.5551,5.4717,5.5551,3605,0
20051214,5.4967,5.5551,5.4967,5.5551,7385,0
20051215,5.5551,5.5551,5.5551,5.5551,3605,0
20051216,5.4383,5.605,5.3885,5.5551,34763,0
20051219,5.5551,5.5551,5.5467,5.5551,10987,0
20051221,5.5551,5.5551,5.5384,5.5551,21431,0
20051222,5.5551,5.6384,5.5551,5.6384,898,0
20051223,5.6384,5.6881,5.6384,5.6881,3605,0
20051227,5.6384,5.8549,5.6384,5.8549,9367,0
20051228,5.7464,5.938,5.6384,5.6549,14769,0
20051229,5.8297,5.8297,5.6881,5.6881,13869,0
20051230,5.6634,5.6881,5.6634,5.6881,46649,0
20060103,5.6716,5.6716,5.6549,5.6716,10625,0
20060104,5.6549,5.6716,5.6549,5.6716,1443,0
20060105,5.6716,5.6716,5.6716,5.6716,3605,0
20060106,5.6716,5.6716,5.6716,5.6716,1801,0
20060109,5.6881,5.6881,5.6881,5.6881,719,0
20060111,5.7215,5.7464,5.6634,5.6634,1443,0
20060112,5.6881,5.8297,5.6716,5.7464,6484,0
20060113,5.7714,5.7714,5.6634,5.6716,2699,0
20060117,5.6881,5.6881,5.605,5.6799,100139,0
20060118,5.5799,5.5799,5.5799,5.5799,360,0
20060119,5.605,5.7714,5.605,5.6634,1980,0
20060120,5.7215,5.7215,5.605,5.6634,99059,0
20060123,5.7215,5.7215,5.7215,5.7215,360,0
20060125,5.7215,5.7215,5.7215,5.7215,360,0
20060126,5.7215,5.7215,5.7215,5.7215,898,0
20060127,5.705,5.705,5.705,5.705,542,0
20060130,5.7299,5.755,5.7299,5.755,1262,0
20060131,5.7131,5.7131,5.705,5.705,3783,0
20060201,5.6716,5.7215,5.6716,5.7215,12607,0
20060206,5.7215,5.7215,5.705,5.705,2521,0
20060209,5.7464,6.3297,5.7464,6.3297,5225,0
20060210,6.5544,6.5544,6.3878,6.3878,1801,0
20060214,6.3544,6.3544,6.3544,6.3544,5225,0
20060215,6.3544,6.3544,6.3544,6.3544,21792,0
20060216,6.3544,6.3544,6.3544,6.3544,1801,0
20060221,6.3961,6.3961,6.3961,6.3961,179,0
20060224,6.4128,6.4128,6.3379,6.3379,5762,0
20060228,6.3878,6.3878,6.3379,6.3379,5041,0
20060301,6.4044,6.4044,6.4044,6.4044,542,0
20060303,6.3878,6.4712,6.3379,6.4712,2699,0
20060306,6.5544,6.5544,6.5544,6.5544,14769,0
20060307,6.5544,6.5795,6.5544,6.5795,1801,0
20060308,6.5211,6.5544,6.5211,6.5544,19812,0
20060309,6.5544,6.571,6.5544,6.571,16391,0
20060310,6.6044,6.746,6.6044,6.746,1262,0
20060313,6.8041,7.6621,6.8041,7.6621,7023,0
20060314,7.5537,7.7369,7.4706,7.6037,10806,0
20060316,7.7203,7.7453,7.6705,7.6871,1980,0
20060317,7.7369,7.7453,7.7369,7.7453,1443,0
20060320,7.7453,7.7537,7.7453,7.7537,1624,0
20060321,7.7453,7.7453,7.6705,7.6705,2161,0
20060322,7.6621,7.6621,7.637,7.637,1980,0
20060323,7.5537,7.5537,7.5206,7.5206,3060,0
20060324,7.4955,7.5206,7.4955,7.5206,719,0
20060328,7.5206,7.5206,7.5206,7.5206,360,0
20060329,7.5453,7.5453,7.5453,7.5453,179,0
20060330,7.5206,7.5206,7.5206,7.5206,898,0
20060331,7.5039,7.5039,7.4955,7.4955,2161,0
20060403,7.4955,7.4955,7.4955,7.4955,542,0
20060406,7.4955,7.5206,7.4955,7.5206,1624,0
20060407,7.537,7.5788,7.4706,7.5537,10444,0
20060410,7.5289,7.5289,7.4372,7.4955,18372,0
20060411,7.5537,7.7203,7.5206,7.7203,21073,0
20060412,7.6621,7.9953,7.6621,7.9953,7745,0
20060413,8.1036,8.6614,8.1036,8.3282,9367,0
20060417,8.3866,8.4367,8.2199,8.3282,13869,0
20060418,8.2367,8.2367,8.2199,8.2199,2699,0
20060419,8.3033,8.3033,8.27,8.27,3605,0
20060420,8.3198,8.3198,8.27,8.27,898,0
20060421,8.27,8.3282,8.27,8.3282,8825,0
20060424,8.27,8.27,8.2451,8.2451,1801,0
20060425,8.3033,8.5534,8.3033,8.3198,12067,0
20060427,8.27,8.27,8.27,8.27,360,0
20060428,8.2451,8.2451,8.1867,8.2451,3605,0
20060501,8.1618,8.4949,8.1618,8.4949,18911,0
20060502,8.4367,8.4367,8.4367,8.4367,3060,0
20060504,8.4949,8.4949,8.4949,8.4949,5041,0
20060505,8.52,8.5534,8.4949,8.4949,9187,0
20060508,8.4949,8.4949,8.4367,8.4367,3605,0
20060509,8.52,8.6032,8.52,8.6032,3783,0
20060511,8.6032,8.7697,8.6032,8.7697,898,0
20060512,8.7197,8.7447,8.6363,8.7447,6304,0
20060515,8.6614,8.6614,8.6614,8.6614,542,0
20060517,8.6032,8.6032,8.5616,8.5616,2699,0
20060519,8.5616,8.5616,8.5616,8.5616,179,0
20060523,8.52,8.52,8.4367,8.47,3240,0
20060524,8.4367,8.4367,8.3866,8.3866,719,0
20060525,8.3866,8.3866,8.3866,8.3866,179,0
20060530,8.3282,8.3866,8.27,8.3866,5406,0
20060602,8.27,8.345,8.2451,8.345,1443,0
20060605,8.3198,8.3198,8.3198,8.3198,542,0
20060606,8.3282,8.3282,8.3282,8.3282,898,0
20060607,8.3282,8.3282,8.3282,8.3282,2699,0
20060608,8.3282,8.3282,8.3282,8.3282,898,0
20060609,8.3282,8.3282,8.3282,8.3282,542,0
20060612,8.3282,8.3866,8.3282,8.3866,3060,0
20060613,8.3783,8.3783,8.3533,8.3533,3060,0
20060614,8.3533,8.3866,8.345,8.3533,6304,0
20060615,8.3533,8.3533,8.3533,8.3533,1980,0
20060616,8.3533,8.8531,8.3533,8.3866,4321,0
20060619,8.52,8.52,8.52,8.52,719,0
20060620,8.5534,8.6032,8.5534,8.5534,1801,0
20060621,8.4949,8.5534,8.4949,8.52,19270,0
20060623,8.4949,8.5534,8.4949,8.5282,3422,0
20060626,8.545,8.545,8.4949,8.4949,542,0
20060627,8.47,8.47,8.47,8.47,542,0
20060628,8.4367,8.4367,8.4367,8.4367,542,0
20060630,8.47,8.5534,8.47,8.5534,1801,0
20060705,8.5534,8.5534,8.4949,8.4949,898,0
20060706,8.52,8.52,8.52,8.52,179,0
20060707,8.5365,8.5534,8.5365,8.5534,1443,0
20060711,8.5534,8.5534,8.5534,8.5534,898,0
20060712,8.5534,8.5534,8.5534,8.5534,360,0
20060713,8.5534,8.7197,8.5534,8.7197,37644,0
20060714,8.7197,8.7697,8.7197,8.7697,542,0
20060717,8.7697,8.9115,8.7697,8.9115,20353,0
20060718,9.003,9.4865,8.9446,9.3857,12966,0
20060719,9.3936,9.561,9.3857,9.4361,5762,0
20060720,9.4361,9.4361,9.4361,9.4361,1262,0
20060721,9.4361,9.4608,9.4114,9.4608,5762,0
20060724,9.619,9.619,8.7447,8.9529,15850,0
20060725,8.9115,8.9115,8.6614,8.7363,2402,0
20060726,8.703,8.703,8.703,8.703,117,0
20060728,8.8281,8.9031,8.8281,8.9031,2521,0
20060731,8.8697,8.8697,8.6197,8.6197,3722,0
20060801,8.4949,8.4949,7.7537,7.8287,7802,0
20060802,7.8287,8.0202,7.8287,7.9953,2521,0
20060803,7.8287,7.9953,7.8287,7.9953,1320,0
20060804,7.9953,8.1618,7.8287,8.1618,11887,0
20060807,8.1452,8.2035,8.1202,8.1953,1560,0
20060808,8.1618,8.3282,8.1202,8.2451,7444,0
20060809,8.3198,8.3198,8.2784,8.2784,719,0
20060810,8.2451,8.3365,8.2451,8.3365,3002,0
20060811,8.3533,8.4615,8.3533,8.4615,241,0
20060814,8.5365,8.8281,8.5365,8.8281,6004,0
20060815,8.9115,8.9529,8.703,8.7447,3002,0
20060816,8.7447,8.7447,8.7447,8.7447,1080,0
20060817,8.7447,8.8281,8.7447,8.8281,961,0
20060818,8.7447,8.7865,8.6614,8.7865,1443,0
20060821,8.6782,8.6782,8.3701,8.4117,5524,0
20060822,8.3783,8.4117,8.3783,8.4117,2882,0
20060823,8.3701,8.4615,8.3701,8.4615,2044,0
20060824,8.3701,8.4117,8.3701,8.3701,4926,0
20060825,8.4533,8.4533,8.3783,8.4451,1560,0
20060828,8.4117,8.4117,8.3282,8.3282,1920,0
20060829,8.3282,8.3866,8.3282,8.3866,2402,0
20060830,8.3701,8.3701,8.3701,8.3701,719,0
20060831,8.4034,8.5282,8.4034,8.5282,4683,0
20060901,8.47,8.47,8.4117,8.4199,719,0
20060905,8.3949,8.4034,8.3783,8.4034,2044,0
20060906,8.3949,8.3949,8.3949,8.3949,2521,0
20060907,8.3701,8.4117,8.3701,8.4117,6484,0
20060908,8.3949,8.4117,8.2451,8.27,18012,0
20060911,8.0784,8.1202,7.7453,7.8287,11769,0
20060918,7.7453,7.7453,7.7453,7.7453,1201,0
20060919,7.7537,7.7537,7.537,7.6621,4321,0
20060920,7.6621,7.6621,7.4955,7.5289,22692,0
20060921,7.5289,7.5289,7.3373,7.4872,5762,0
20060922,7.4622,7.5206,7.4289,7.4955,5164,0
20060925,7.4955,7.4955,7.4955,7.4955,2402,0
20060926,7.5039,7.5039,7.5039,7.5039,961,0
20060927,7.454,7.5289,7.454,7.5289,1320,0
