Date,Open,High,Low,Close,Volume,OpenInt
20140402,39.966,40.161,39.947,40.025,3446,0
20140403,40.035,40.035,39.985,39.985,13316,0
20140404,40.191,40.25,39.995,39.995,9194,0
20140407,39.985,40.976,39.76,39.78,12113,0
20140408,39.819,40.055,39.73,39.975,1162,0
20140409,40.132,40.348,40.045,40.348,1561,0
20140410,40.221,40.563,40.181,40.289,4256,0
20140411,39.858,39.966,39.858,39.937,1777,0
20140414,40.035,40.035,40.035,40.035,560,0
20140415,40.064,40.064,39.927,40.035,1179,0
20140416,40.387,40.505,40.387,40.486,716,0
20140417,40.466,40.661,40.466,40.613,1674,0
20140421,40.868,41.26,40.799,40.897,6018,0
20140422,40.681,40.74,40.661,40.73,4306,0
20140423,40.651,40.759,40.641,40.641,3565,0
20140424,40.525,40.573,40.525,40.573,899,0
20140425,40.769,41.71,40.534,40.534,769,0
20140428,40.515,42.112,40.407,40.593,5126,0
20140429,40.809,40.828,40.799,40.799,1205,0
20140430,40.848,40.848,40.848,40.848,819,0
20140501,41.171,41.171,41.073,41.073,2414,0
20140502,41.171,42.043,41.092,42.043,2281,0
20140505,40.966,41.318,40.926,41.318,3316,0
20140506,41.358,41.387,41.288,41.318,11921,0
20140507,41.407,41.661,41.407,41.661,32639,0
20140508,41.652,41.652,41.368,41.368,7036,0
20140509,41.26,41.26,41.21,41.25,1771,0
20140512,41.446,41.475,41.397,41.475,2840,0
20140513,41.456,41.456,41.387,41.397,1285,0
20140514,41.592,41.592,41.592,41.592,249,0
20140515,41.514,41.524,41.397,41.397,2822,0
20140516,41.524,41.612,41.485,41.612,3118,0
20140519,41.71,41.71,41.632,41.632,2236,0
20140520,41.602,41.602,41.436,41.504,2551,0
20140521,41.671,41.671,41.671,41.671,229,0
20140522,41.73,41.917,41.73,41.877,2560,0
20140523,41.897,41.897,41.867,41.867,1002,0
20140527,42.092,42.092,41.917,41.936,1175,0
20140528,42.053,42.063,41.946,41.984,2697,0
20140529,41.994,42.043,41.994,42.014,1380,0
20140530,42.121,42.229,42.121,42.219,931,0
20140602,42.219,42.338,42.219,42.338,1086,0
20140603,42.377,42.573,42.121,42.121,65564,0
20140604,42.219,43.318,42.102,42.181,27466,0
20140605,42.229,42.484,42.229,42.435,9726,0
20140606,42.68,42.68,42.484,42.621,5904,0
20140609,47.649,47.649,42.73,42.769,1788,0
20140610,42.621,42.621,42.573,42.602,817,0
20140611,42.445,42.71,42.397,42.493,1549,0
20140612,42.377,42.377,42.249,42.269,1104,0
20140613,42.475,42.513,42.299,42.299,2081,0
20140616,42.435,42.886,42.435,42.759,1287,0
20140617,43.053,43.112,43.033,43.102,2443,0
20140618,43.072,43.22,42.984,43.22,2227,0
20140619,43.592,43.592,43.396,43.396,1210,0
20140620,43.425,43.434,43.386,43.406,1837,0
20140623,43.514,43.514,43.367,43.494,2238,0
20140624,43.612,43.68,43.415,43.415,2030,0
20140625,43.442,43.956,43.442,43.828,3074,0
20140626,43.65,43.837,43.65,43.837,2349,0
20140627,43.799,44.005,43.799,44.005,431,0
20140630,43.946,44.104,43.67,44.075,1319,0
20140701,44.38,44.38,44.331,44.351,5088,0
20140702,44.38,44.41,43.946,44.253,6381,0
20140703,44.263,44.263,44.015,44.015,762,0
20140707,44.084,44.084,43.739,43.739,846,0
20140708,43.7,43.7,43.472,43.66,4965,0
20140709,43.591,43.877,43.591,43.857,4429,0
20140710,43.541,44.055,43.541,43.808,1849,0
20140711,43.818,43.877,43.749,43.877,2887,0
20140714,44.213,44.213,43.877,43.887,3878,0
20140715,44.203,44.203,43.462,43.867,5462,0
20140716,44.578,44.578,43.847,44.035,6586,0
20140717,44.065,44.469,43.837,43.847,3312,0
20140718,44.361,44.361,44.065,44.272,4106,0
20140721,44.272,45.21,44.272,44.41,13354,0
20140722,44.697,45.308,44.41,44.687,8325,0
20140723,44.628,45.121,44.43,44.539,125268,0
20140724,44.509,44.618,44.43,44.539,10082,0
20140725,44.43,44.44,44.183,44.311,9276,0
20140728,44.183,44.459,44.183,44.45,6272,0
20140729,44.39,44.924,44.233,44.233,4494,0
20140730,45.092,45.092,43.916,44.025,49918,0
20140731,44.144,44.144,43.442,43.68,14820,0
20140801,43.442,43.67,42.603,42.959,7065,0
20140804,42.801,43.255,42.801,43.236,3738,0
20140805,42.949,43.038,42.603,42.603,8742,0
20140806,42.643,42.692,42.564,42.673,3471,0
20140807,42.692,43.166,42.603,42.623,7024,0
20140808,42.702,43.018,42.702,43.018,5835,0
