Date,Open,High,Low,Close,Volume,OpenInt
20070919,56.671,66.671,46.67,46.67,3,0
20080131,33.67,33.67,33.67,33.67,3,0
20080508,33.67,36.67,33.67,36.67,3,0
20080910,98.338,130.01,50.003,66.67,3,0
20080911,50,111.67,50,50,3,0
20090928,50,50,25,25,1,0
20090929,100,125,95,118,3,0
20090930,120,128,118,128,1,0
20091001,126,135,121,132,1,0
20091002,115,135,108,130,1,0
20091005,129,140,128,136,1,0
20091006,134,135,106,132,1,0
20091007,129,130,126,129,1,0
20091103,133,133,109,120,1,0
20091109,133,135,120,130,1,0
20091111,114,137,114,137,2,0
20091112,130,140,125,130,1,0
20091113,122,140,120,140,1,0
20091117,140,145,140,145,1,0
20091120,140,147,136,147,1,0
20091124,142,142,125,135,1,0
20091201,140,142,138,142,1,0
20091208,150,155,150,155,1,0
20091215,148,148,101,129,1,0
20091228,130,154,51,154,1,0
20091230,155,155,65,110,2,0
20091231,115,130,114,130,1,0
20100111,136,137,86,137,1,0
20100121,107,159,101,140,1,0
20100125,102,125,101,125,1,0
20100126,101,101,80,100,1,0
20100129,101,124,81,118,1,0
20100202,125,160,125,160,1,0
20100205,100,145,83,145,1,0
20100211,103,125,101,119,1,0
20100216,101,115,100,115,1,0
20100226,113,139,101,139,1,0
20100304,125,125,80,125,1,0
20100305,120,140,101,133,2,0
20100308,101,135,100,130,5,0
20100309,115,130,100,118,1,0
20100310,102,129,86,111,1,0
20100311,101,122,101,122,1,0
20100312,105,128,87,127,1,0
20100315,101,135,100,135,2,0
20100316,105,125,10,125,3,0
20100324,80,117,80,117,1,0
20100406,100,100,57,99,1,0
20100518,60,124,60,100,1,0
20100604,55,90,51,90,1,0
20100617,60,60,25,44,1,0
20100707,40,90,30,90,1,0
20100809,21,21,20,20,3,0
20100907,11,11,11,11,1,0
20101001,9,9,9,9,1,0
20101029,7,7,7,7,1,0
20101124,15,15,7,7,2,0
20101209,5,5,5,5,1,0
20101213,5,5,3,3,4,0
20101229,3,3,3,3,2,0
20101230,4,4,3,3,4,0
20110103,3,3,3,3,3,0
20110104,3,3,3,3,10,0
20110110,3,3,3,3,1,0
20110114,3,3,3,3,4,0
20110119,2,2,2,2,4,0
20110120,2,2,2,2,2,0
20110207,2,2,2,2,4,0
