Date,Open,High,Low,Close,Volume,OpenInt
20081125,89,89,86.56,86.92,2053,0
20081126,90.48,108.16,86.72,99.6,19549,0
20081128,93.52,94.4,87.4,89.6,11362,0
20081201,86.48,87.56,79.52,80.08,33479,0
20081202,82.64,82.72,72.4,74,39189,0
20081203,72.6,75.16,71,72.48,36121,0
20081204,69.76,72.8,61.52,62.8,61593,0
20081205,59.32,61.6,53.92,57.96,82728,0
20081208,62.12,64.16,59.56,63.68,77916,0
20081209,61.92,63.6,57.04,58.24,59912,0
20081210,62.08,67.36,56.96,62.56,168761,0
20081211,67.92,76,66.04,71.4,151998,0
20081212,64.72,72.24,62.12,70.96,137449,0
20081215,79.16,79.16,64.28,66.32,159616,0
20081216,69.4,70.4,61.24,64.52,229196,0
20081217,63.48,66.71,58.2,60.6,340421,0
20081218,58.36,58.36,51.2,53.4,558668,0
20081219,52.72,55.24,51.24,54.4,479031,0
20081222,54.56,54.88,47.4,47.56,479184,0
20081223,49.4,49.4,43.12,45.64,526690,0
20081224,42.64,43.44,41.36,42.76,294656,0
20081226,40.36,42.4,39,41.8,423274,0
20081229,45.56,47.44,42.08,47.24,479867,0
20081230,45.28,47.2,43.24,46.92,194871,0
20081231,45,59.56,44.76,54.76,764130,0
20090102,56.68,63.4,55.68,62.64,525097,0
20090105,63.08,70.16,62.12,68.64,540245,0
20090106,73.4,74.6,68.12,70,557070,0
20090107,68,68.2,54.8,55,805111,0
20090108,54,55.24,50.44,54.84,852666,0
20090109,51.28,52.96,48.56,51.8,1068784,0
20090112,48,48.68,46.04,46.8,1296871,0
20090113,47.44,51.28,46.32,49.72,1743721,0
20090114,49,49.24,44.4,48.04,1548269,0
20090115,47.44,47.44,41.04,45.08,3006107,0
20090116,47.96,48.12,43.24,44.24,1538520,0
20090120,41.6,46.8,40,40.68,2307246,0
20090121,41.96,47.28,40.52,46.84,1515009,0
20090122,43.12,46.64,39.6,44.32,2355191,0
20090123,42.6,53.24,41.52,50.92,2254255,0
20090126,51.16,56.76,50.12,50.4,2017548,0
20090127,47.2,47.84,41.6,42.4,3053262,0
20090128,42,45.48,40.04,42.8,5495249,0
20090129,40.16,42.88,39.64,41.28,3474093,0
20090130,43.52,44.08,40.48,41.44,2278825,0
20090202,39.2,42.2,38.42,39.16,5243284,0
20090203,38.36,40.48,38.2,40.16,3112631,0
20090204,41.68,41.88,37.88,38.76,3602481,0
20090205,38.76,40.56,37.32,39.84,2707088,0
20090206,36.12,43.36,36.08,38.6,6355492,0
20090209,41.32,42.36,37.64,38.24,4061231,0
20090210,40.52,40.72,34.12,34.84,7468209,0
20090211,34.52,35.36,31.92,32.8,4245145,0
20090212,31.96,33.12,30.84,32.4,4224000,0
20090213,32,32.2,29.64,30.12,4641700,0
20090217,26.84,27.16,24.76,25,3617733,0
20090218,24.96,25.2,23.16,23.4,3978557,0
20090219,24.96,26.76,23.08,26.2,4450578,0
20090220,24.08,26.32,23.68,25.88,3862490,0
20090223,27.68,27.68,24.32,24.88,3050396,0
20090224,26.12,27.08,24.92,26.72,2631812,0
20090225,27.6,29.72,26.36,29.12,4670687,0
20090226,31,33,30.72,32.04,5756863,0
20090227,30.44,32.44,29.52,31.41,3177706,0
20090302,28.4,28.84,25.72,25.96,2865235,0
20090303,27.84,28.08,25.44,27.76,2048515,0
20090304,30.52,32.4,30.04,31.6,3705852,0
20090305,31.32,31.68,28.96,29.84,2156964,0
20090306,32,32.92,30.28,32.72,2392082,0
20090309,32.28,35.2,32.24,33.16,3162896,0
20090310,34.48,34.8,31.2,31.44,3192182,0
20090311,30.4,31.68,27.4,28.24,3771980,0
20090312,28.12,32.92,28.04,32.24,3592018,0
20090313,32.68,33.88,30.76,30.96,2633336,0
20090316,29.6,33,28.88,32.32,2674706,0
20090317,33.24,36.08,32.8,34.8,2850668,0
20090318,34.88,36.12,32.12,35.4,2016815,0
20090319,38,38.64,36.48,37.2,2746483,0
20090320,37.16,39.08,36.88,38.2,1715080,0
20090323,37.96,41,37.6,40.68,2429269,0
20090324,39.08,41.04,38.68,40.08,1656388,0
20090325,38.76,41.24,37.84,39.32,2356401,0
20090326,41.4,41.52,39.72,41.08,2131942,0
20090327,38.68,38.92,37.4,38.12,1551422,0
20090330,35.32,35.72,32.28,32.84,2031266,0
20090331,32.8,34.68,31.84,33.68,1552014,0
20090401,31.56,32.76,31.04,32.52,1910124,0
20090402,37.44,38.56,36.56,37.8,2873929,0
20090403,37.36,38.24,35.92,37.84,1263933,0
20090406,35.48,37.32,34.24,36.04,1301189,0
20090407,33.88,34.6,33.08,33.4,1323071,0
20090408,32.12,36.12,31.76,34.2,1972446,0
20090409,36.92,37.24,35.2,36.76,1366273,0
20090413,33.28,36.56,32.92,34.6,2011021,0
20090414,34.68,35.72,33.56,33.6,1307464,0
20090415,33.36,34.16,32.6,33.72,1432779,0
20090416,34.04,34.16,33.08,33.4,1029952,0
20090417,34.28,34.4,33.2,33.6,709546,0
20090420,30,30.4,28.8,29.08,3788838,0
20090421,27.2,29.68,27.2,28.96,2998996,0
20090422,28.6,29.12,27.88,28.76,1598613,0
20090423,29.28,29.4,28.24,29.32,1098015,0
20090424,31.16,31.56,30.68,31.16,1914621,0
20090427,27.8,30.84,27.8,29.68,2526602,0
20090428,28.28,29.44,28.2,28.8,1645246,0
20090429,29.96,30.77,29.72,30.36,1557220,0
20090430,29.96,30.92,29.76,30.36,979564,0
20090501,31.44,33.48,31.32,32.68,1639183,0
20090504,33.76,35.2,33.72,35.12,1712746,0
20090505,34.92,35.36,33.96,34.08,1246235,0
20090506,35.76,36.96,35.2,36.8,2117301,0
20090507,39.28,39.52,35.84,36.92,2049680,0
20090508,38.68,39.8,37.84,39.24,1178380,0
20090511,38.6,39.43,37.88,38.88,895067,0
20090512,40.08,40.32,38.68,39.52,1058307,0
20090513,39.28,40.8,37.88,38.44,1306642,0
20090514,38,39.8,37.36,39,1044455,0
20090515,38.04,39.04,35.8,36.32,887075,0
20090518,38.16,39.76,37.88,39.57,968395,0
20090519,39.76,40.4,38.48,39.8,892405,0
20090520,41.52,42.88,41.4,42.28,1702879,0
20090521,40.56,41.84,39.72,41.24,748842,0
20090522,41.44,42.16,40.56,42.04,643466,0
20090526,39.6,43.2,39.44,42.84,1064566,0
20090527,44.08,45,42.88,44.09,1259028,0
20090528,45.12,47.28,44.84,46.16,1692425,0
20090529,48.64,48.8,46.96,48.8,1305529,0
20090601,50.44,52.04,49.88,51.6,1156030,0
20090602,50.8,52.6,50.32,52.24,1195125,0
20090603,51.04,51.2,46.4,48.36,1379929,0
20090604,50.68,53.2,50.2,52.16,1208673,0
20090605,52.16,53.04,50.2,51.36,1614678,0
20090608,51.24,52.28,50.6,51.8,836420,0
20090609,53.2,53.92,52.12,53.48,732335,0
20090610,55.16,56.16,54.44,55.6,1257920,0
20090611,56.8,58.4,56.44,57.48,1011454,0
20090612,56.2,57.32,55.8,56.76,810141,0
20090615,55.76,55.76,52.88,54.4,998372,0
20090616,56.76,57,53.2,54.28,955092,0
20090617,53.48,55.32,52.2,54.84,961681,0
20090618,54.24,55.88,53.6,55.08,663564,0
20090619,55.72,56.24,51.6,52.8,1142860,0
20090622,50.4,50.4,47.6,48,1457264,0
20090623,49.12,51.76,47.88,51,1168460,0
20090624,50.76,52,49.96,50.24,948270,0
20090625,51.52,53.6,51,52.84,1033359,0
20090626,52.44,52.52,50.56,51.32,652128,0
20090629,52.88,55.08,52.84,54.48,1014077,0
20090630,54,54.76,50.68,52.64,1266408,0
20090701,54.48,55,50.24,51.16,1638393,0
20090702,48.2,48.36,47.44,47.64,1131597,0
20090706,43.84,44.96,43.4,44,1448296,0
20090707,43.6,43.76,41.56,41.64,1071278,0
20090708,41.24,41.36,38.6,38.84,1755447,0
20090709,39.44,39.64,37.68,39.2,1257425,0
20090710,37.68,38.72,37.12,38.24,1047444,0
20090713,37.64,38.44,36.44,38.16,1100224,0
20090714,39.36,39.68,37.36,37.72,1090889,0
20090715,39.56,41.08,38.8,40.8,1399749,0
20090716,39.52,41.24,39.4,41,955477,0
20090717,41.84,43.6,41.68,42.72,1080297,0
20090720,44,44.44,42.68,44.2,942325,0
20090721,45.4,45.56,43.12,44.44,968297,0
20090722,42.24,44.6,41.96,44.12,964280,0
20090723,43,46.92,42.92,46.64,1078529,0
20090724,46.4,47.92,45.8,47.72,797610,0
20090727,48,48.44,47.12,48.04,890042,0
20090728,46.52,47.32,45.56,46.56,802599,0
20090729,44.36,44.52,40.44,40.76,1614268,0
