Date,Open,High,Low,Close,Volume,OpenInt
20140128,28.7,28.7,28.7,28.7,340,0
20140206,28.5,28.5,28.5,28.5,200,0
20140226,28.92,28.92,28.78,28.78,210,0
20140228,29.45,29.45,29.45,29.45,150,0
20140304,29.05,29.05,29.05,29.05,150,0
20140305,29.19,29.19,29.19,29.19,172,0
20140314,29.8,29.87,29.8,29.87,2300,0
20140324,29.28,29.35,29.26,29.32,1109,0
20140409,29.53,29.53,29.53,29.53,385,0
20140411,29.73,29.82,29.69,29.78,1600,0
20140414,29.4,29.55,29.4,29.4,1300,0
20140416,29.15,29.47,29.15,29.47,1500,0
20140421,29.35,29.4,29.32,29.34,1000,0
20140424,29.4,29.56,29.4,29.56,1000,0
20140428,29.66,29.66,29.55,29.66,800,0
20140430,29.52,29.8,29.52,29.75,600,0
20140502,29.44,29.5,29.44,29.48,400,0
20140505,29.7,29.79,29.7,29.79,4200,0
20140506,29.8,29.96,29.8,29.95,2700,0
20140507,29.98,29.98,29.79,29.98,340,0
20140508,29.72,29.72,29.63,29.71,700,0
20140602,28.4,28.5,28.4,28.41,1506,0
20140609,28.39,28.45,28.39,28.4,1000,0
20140709,28.62,28.65,28.62,28.64,1800,0
20140714,28.41,28.41,28.41,28.41,344,0
20140715,28.33,28.38,28.33,28.37,800,0
20140717,28.1,28.19,28.1,28.19,2000,0
20140722,27.87,27.96,27.87,27.96,800,0
20140725,27.71,27.79,27.71,27.79,1600,0
20140730,27.45,27.54,27.45,27.54,400,0
20140819,27.08,27.08,27.08,27.08,100,0
20140825,26.6,26.75,26.6,26.75,804,0
20140829,26.32,26.32,26.32,26.32,200,0
20140904,26.04,26.04,25.47,25.75,600,0
20140912,25.64,25.64,25.64,25.64,120,0
20140916,25.66,25.66,25.66,25.66,1100,0
20140923,25.3,25.3,23.14,25.3,700,0
20140924,24.87,24.95,24.87,24.91,1100,0
20140930,24.24,24.24,24.24,24.24,230,0
20141003,23.9,23.9,23.9,23.9,100,0
20141009,24.71,24.71,24.55,24.55,2202,0
20141013,24.4,24.4,24.4,24.4,100,0
20141015,24.88,24.95,24.88,24.91,1235,0
20141016,24.88,24.88,24.88,24.88,200,0
20141017,24.67,24.93,24.67,24.9,1370,0
20141020,24.86,24.96,24.86,24.96,490,0
20141021,24.75,24.8,24.3,24.3,938,0
20141023,24.35,24.35,24.35,24.35,2025,0
20141029,23.58,24.69,23.58,24.43,558,0
20141030,24.2,24.2,24.2,24.2,100,0
20141031,23.68,23.68,23.68,23.68,433,0
20141110,23.71,23.71,23.56,23.56,2419,0
20141121,23.28,23.28,23.28,23.28,150,0
20141128,23.54,23.54,23.54,23.54,320,0
20141201,23.65,23.68,23.65,23.68,312,0
20141202,23.29,23.29,23.29,23.29,100,0
20141203,22.91,22.91,22.91,22.91,200,0
20141209,23.07,23.07,23.07,23.07,100,0
20141218,23.05,23.05,23.05,23.05,218,0
20141222,22.88,22.88,22.88,22.88,200,0
20141226,22.61,22.61,22.59,22.59,516,0
20141229,22.66,22.68,22.48,22.48,350,0
20141230,22.28,22.28,22.28,22.28,100,0
20150102,21.94,21.94,21.94,21.94,450,0
20150105,21.55,21.65,21.55,21.64,1490,0
20150106,21.62,21.62,21.48,21.48,603,0
20150107,20.9,20.98,20.82,20.98,3569,0
20150108,20.98,20.98,20.98,20.98,541,0
20150112,21.11,21.13,21.04,21.05,4468,0
20150113,20.96,21,20.75,20.94,2027,0
20150114,21.01,21.01,20.95,20.97,3666,0
20150115,20.5,21.48,20.05,20.38,4626,0
20150116,20.12,20.2,19.88,19.93,5476,0
