Date,Open,High,Low,Close,Volume,OpenInt
20070201,65.619,65.619,65.619,65.619,512,0
20070202,66.79,66.79,66.79,66.79,2561,0
20070205,68.147,68.147,67.308,67.708,2972,0
20070206,66.665,67.083,65.834,67.063,2662,0
20070207,68.069,69.211,67.503,69.211,3689,0
20070208,67.397,67.397,67.397,67.397,1026,0
20070209,69.708,69.708,66.225,66.234,9528,0
20070212,65.551,65.551,65.551,65.551,101,0
20070213,65.347,65.347,64.995,65.289,1741,0
20070214,66.479,68.234,66.342,67.884,3588,0
20070215,68.44,68.665,68.44,68.665,615,0
20070216,68.371,68.44,68.254,68.254,13016,0
20070220,66.577,68.577,66.577,68.274,5637,0
20070221,67.093,67.348,67.093,67.348,1127,0
20070222,70.168,70.772,69.601,70.46,14653,0
20070223,71.026,71.407,70.841,71.036,6355,0
20070226,70.851,70.851,70.159,70.675,2459,0
20070227,68.401,69.133,65.668,65.785,18648,0
20070228,66.616,66.616,65.356,65.854,11783,0
20070301,62.214,65.211,62.214,64.419,5328,0
20070302,63.99,63.99,62.107,62.214,22031,0
20070305,62.331,62.868,60.886,60.886,4304,0
20070306,62.702,63.443,62.155,63.179,11271,0
20070307,63.062,63.062,62.311,62.311,14552,0
20070308,63.571,64.439,63.571,63.922,7069,0
20070309,65.757,65.757,63.541,64.439,3588,0
20070312,65.561,66.156,65.473,65.698,2049,0
20070313,65.113,65.113,63.121,63.199,10657,0
20070314,63.053,63.571,61.979,63.208,21519,0
20070315,63.932,63.932,62.927,63.492,25924,0
20070316,62.4,62.996,62.4,62.711,25310,0
20070319,63.161,63.161,62.214,62.214,4098,0
20070320,62.263,62.907,62.263,62.868,615,0
20070321,63.053,65.678,62.848,64.946,9631,0
20070322,64.469,64.478,63.912,63.912,7173,0
20070323,64.146,64.721,64.146,64.721,2459,0
20070326,64.526,64.526,63.112,64.244,2152,0
20070327,64.195,64.311,63.795,63.94,1741,0
20070328,62.878,63.005,61.979,61.989,43958,0
20070329,62.976,62.976,59.979,61.061,16395,0
20070330,62.067,62.067,61.101,61.492,20085,0
20070402,61.755,61.755,60.048,61.169,2766,0
20070403,61.57,62.496,61.57,62.449,2357,0
20070404,62.956,63.375,62.956,63.326,2662,0
20070405,63.98,64.117,63.795,64.117,3074,0
20070409,64.741,65.044,64.166,64.576,2255,0
20070410,64.663,66.117,64.663,66.117,2766,0
20070411,66.264,66.264,64.877,64.995,10964,0
20070412,64.721,65.893,64.721,65.893,1127,0
20070413,65.22,65.444,65.22,65.444,2459,0
20070416,65.971,66.645,65.971,66.098,6046,0
20070417,66.675,67.053,66.626,66.946,7787,0
20070418,68.743,70.266,68.596,69.728,11578,0
20070419,68.723,72.031,68.616,71.378,10245,0
20070420,73.027,73.027,70.88,71.963,3588,0
20070423,71.398,71.398,70.704,70.968,2766,0
20070424,73.574,75.097,72.705,74.217,22645,0
20070425,74.656,76.071,74.032,76.071,8504,0
20070426,75.574,75.945,74.753,75.29,15578,0
20070427,74.686,74.949,73.251,73.809,10144,0
20070430,72.88,73.544,71.855,71.855,18444,0
20070501,71.68,72.607,70.276,72.607,4715,0
20070502,72.89,74.119,72.841,73.407,10245,0
20070503,74.227,75.018,73.671,73.671,9223,0
20070504,74.432,75.233,74.012,74.989,2972,0
20070507,75.174,75.457,74.656,74.656,2459,0
20070508,73.885,74.676,73.348,74.676,717,0
20070509,74.901,77.701,74.901,77.634,5019,0
20070510,77.165,77.916,74.286,75.008,14552,0
20070511,76.051,77.028,75.437,77.028,13935,0
20070514,77.594,77.769,75.651,76.091,9327,0
20070515,75.544,76.12,74.236,74.373,10348,0
20070516,74.159,74.597,73.027,74.597,4098,0
20070517,74.656,74.656,73.74,73.74,2871,0
20070518,75.135,75.135,73.358,74.246,3381,0
20070521,74.511,76.15,73.76,73.827,8504,0
20070522,74.569,75.955,74.481,75.309,6557,0
20070523,74.842,74.939,73.007,73.007,7069,0
20070524,72.412,72.763,69.23,69.699,19878,0
20070525,71.026,71.358,70.381,70.792,3074,0
20070529,71.816,72.001,71.816,71.855,5842,0
20070530,70.537,71.094,70.276,71.007,12296,0
20070531,72.227,72.909,71.845,72.909,4304,0
20070601,73.76,74.872,73.76,74.207,10044,0
20070604,73.388,74.646,73.388,73.944,9941,0
20070605,73.475,73.475,71.943,72.841,6969,0
20070606,72.363,72.363,70.782,71.407,9941,0
20070607,70.44,70.44,68.518,68.518,12807,0
20070608,69.738,72.197,69.114,72.197,26334,0
20070611,72.335,72.48,71.767,71.797,7069,0
20070612,70.655,72.1,70.577,71.339,7889,0
20070613,72.822,73.564,72.159,73.515,6763,0
20070614,74.178,76.803,74.178,76.051,7787,0
20070615,79.047,79.566,78.072,79.419,21826,0
20070618,79.526,79.858,78.296,79.604,16600,0
20070619,78.346,78.737,77.515,78.316,6557,0
20070620,78.912,79.439,77.506,77.506,15472,0
20070621,78.775,81.625,78.775,81.625,21108,0
20070622,81.068,81.136,78.678,79.302,25722,0
20070625,79.35,79.672,76.697,77.351,32995,0
20070626,77.419,77.419,75.799,76.071,5943,0
20070627,75.329,79.478,75.329,79.409,22441,0
20070628,79.594,80.113,78.697,78.959,14653,0
20070629,79.38,79.711,77.458,77.886,12604,0
20070702,79.028,79.956,78.151,79.829,20905,0
20070703,80.521,80.824,80.268,80.756,11066,0
20070705,80.668,81.224,80.142,81.224,6557,0
20070706,81.76,82.727,81.264,82.416,5943,0
20070709,83.108,84.054,82.678,83.782,18958,0
20070710,82.766,84.23,82.591,82.903,19059,0
20070711,82.795,82.795,81.351,82.112,15163,0
20070712,83.323,88.056,82.717,88.056,43856,0
20070713,88.114,88.289,86.815,87.762,12705,0
20070716,87.714,88.514,87.285,87.714,17114,0
20070717,88.836,92.935,88.836,91.061,43550,0
20070718,87.538,87.538,85.001,86.64,53387,0
20070719,87.762,88.124,86.738,88.037,22132,0
20070720,88.027,88.027,84.835,84.933,31562,0
20070723,85.899,86.924,85.167,85.206,12604,0
20070724,82.776,84.591,81.625,82.035,57485,0
20070725,83.733,83.812,81.488,82.328,39860,0
20070726,80.903,82.766,76.56,79.224,68449,0
20070727,78.775,79.956,76.697,76.881,25516,0
20070730,77.604,80.395,77.263,79.204,37812,0
20070731,81.029,81.234,76.783,77.135,42627,0
20070801,76.862,77.886,73.641,77.476,34326,0
20070802,77.282,78.306,75.809,78.151,19368,0
20070803,78.16,78.16,74.364,74.364,17624,0
20070806,74.959,75.613,73.241,75.613,28383,0
20070807,75.273,76.959,73.251,76.218,56051,0
20070808,77.311,80.433,76.949,78.775,42011,0
20070809,77.476,80.015,76.042,77.155,64556,0
20070810,74.129,77.36,73.895,76.725,21722,0
20070813,76.959,77.662,76.443,76.588,39962,0
20070814,76.482,77.233,73.994,74.06,76749,0
20070815,72.5,73.895,70.469,70.469,56564,0
20070816,70.469,70.871,65.279,69.543,184547,0
20070817,78.815,78.815,70.469,72.988,84538,0
20070820,73.934,75.457,73.066,74.627,13424,0
20070821,74.197,75.495,74.197,74.725,17727,0
20070822,76.12,76.598,75.29,76.306,6455,0
20070823,76.647,76.763,74.832,75.72,11169,0
20070824,74.989,77.672,74.989,77.555,17010,0
20070827,76.706,76.706,75.847,76.091,8299,0
20070828,74.842,74.901,72.09,72.169,10348,0
20070829,74.373,77.184,73.994,77.087,7173,0
20070830,76.404,78.94,76.404,77.409,18034,0
20070831,79.292,80.531,78.824,80.375,11169,0
20070904,81.009,84.591,81.009,83.323,33405,0
20070905,82.259,82.483,80.629,81.615,19059,0
20070906,82.162,83.138,81.078,83,22236,0
20070907,79.341,79.79,77.38,78.854,173172,0
20070910,81.029,81.409,77.818,78.785,30844,0
20070911,79.273,81.625,78.949,80.795,49596,0
20070912,79.829,81.019,77.955,78.423,38528,0
20070913,78.531,78.551,77.351,77.486,25310,0
20070914,75.564,77.038,75.534,76.316,76953,0
20070917,75.994,76.032,75.067,76.022,10044,0
20070918,76.608,79.849,76.14,79.174,77364,0
20070919,80.502,82.122,79.897,80.648,42627,0
20070920,80.551,81.77,80.248,81.039,20493,0
20070921,81.877,82.893,81.877,81.936,12296,0
20070924,82.338,83.205,80.942,81.419,18444,0
20070925,80.423,82.221,80.423,81.917,14961,0
20070926,83.537,84.377,81.585,82.181,34124,0
20070927,82.873,83.303,82.181,82.328,17215,0
20070928,82.522,83.079,81.644,81.712,12296,0
