Date,Open,High,Low,Close,Volume,OpenInt
20050225,47.816,48.266,47.74,48.266,18979,0
20050228,48.202,48.202,47.853,47.962,15290,0
20050301,48.434,48.478,48.312,48.468,6723,0
20050302,48.138,48.6,48.138,48.258,7482,0
20050303,48.378,48.378,47.944,48.165,12362,0
20050304,48.487,48.821,48.487,48.821,3794,0
20050307,48.866,49.096,48.811,48.811,2711,0
20050308,48.783,48.847,48.7,48.764,2169,0
20050309,48.553,48.553,48.091,48.128,3577,0
20050310,48.312,48.312,48.174,48.174,2711,0
20050311,48.304,48.304,47.769,47.769,2169,0
20050314,48.193,48.193,48.119,48.138,974,0
20050315,48.294,48.294,47.981,48.055,2385,0
20050316,47.806,47.806,47.501,47.584,9000,0
20050317,47.372,47.557,47.372,47.491,3146,0
20050318,47.104,47.188,47.104,47.188,2169,0
20050321,47.113,47.113,46.671,46.782,2385,0
20050322,46.948,46.948,46.11,46.11,1736,0
20050323,45.907,46.11,45.907,46.11,1953,0
20050324,46.017,46.192,45.879,45.933,6507,0
20050328,45.998,45.998,45.979,45.979,542,0
20050329,45.925,46.182,45.925,45.925,5639,0
20050330,45.933,46.247,45.933,46.145,1519,0
20050331,46.192,46.303,46.192,46.303,2169,0
20050401,46.507,46.507,45.546,45.555,5421,0
20050404,45.647,46.035,45.463,46.035,49014,0
20050405,46.035,46.119,46.017,46.017,5533,0
20050406,46.256,46.469,46.228,46.313,4663,0
20050407,46.313,46.522,46.313,46.432,1408,0
20050408,46.339,46.339,46.081,46.164,3146,0
20050411,46.266,46.266,46.054,46.238,1519,0
20050412,45.96,46.045,45.907,45.907,4339,0
20050413,46.708,46.708,46.017,46.017,2711,0
20050414,45.907,45.907,45.713,45.713,3255,0
20050415,45.758,45.785,45.095,45.095,7266,0
20050418,45.261,45.573,45.195,45.463,9868,0
20050419,45.676,45.732,45.555,45.638,3362,0
20050420,45.463,45.5,44.957,44.957,2820,0
20050421,45.27,45.307,45.011,45.307,3037,0
20050422,45.195,45.436,44.957,44.957,867,0
20050425,45.37,45.74,45.37,45.685,3037,0
20050426,45.61,45.766,45.61,45.694,760,0
20050427,45.307,46.054,45.307,45.951,2279,0
20050428,45.951,45.989,45.694,45.694,4121,0
20050429,45.647,45.785,45.352,45.785,20387,0
20050502,46.385,46.422,46.017,46.294,5421,0
20050503,46.432,46.654,46.247,46.247,1303,0
20050504,46.616,47.244,46.514,47.16,11278,0
20050505,47.235,47.235,46.828,47.113,1303,0
20050506,47.197,47.197,46.828,46.975,1519,0
20050509,46.865,47.169,46.744,47.169,3794,0
20050510,46.948,46.948,46.551,46.551,3037,0
20050511,46.645,46.975,46.607,46.975,4339,0
20050512,47.003,47.003,46.404,46.45,6182,0
20050513,46.385,46.385,45.869,45.989,8027,0
20050516,46.145,46.773,46.145,46.754,4228,0
20050517,46.598,47.05,46.541,47.05,4446,0
20050518,47.437,47.797,47.409,47.677,7049,0
20050519,47.631,47.825,47.491,47.825,5533,0
20050520,47.677,47.685,47.519,47.685,1083,0
20050523,47.769,47.925,47.677,47.925,2169,0
20050524,47.659,47.659,47.501,47.501,3687,0
20050525,47.575,47.575,47.297,47.382,2711,0
20050526,47.446,47.797,47.446,47.797,3577,0
20050527,47.731,47.844,47.677,47.806,3146,0
20050531,47.844,47.844,47.659,47.769,4556,0
20050601,47.722,48.312,47.722,47.953,3146,0
20050602,47.906,48.091,47.888,48.081,6182,0
20050603,48.1,48.1,47.778,47.797,4556,0
20050606,47.797,47.825,47.704,47.825,2711,0
20050607,48.156,48.378,48.119,48.119,17566,0
20050608,48.119,48.221,48.018,48.018,5639,0
20050609,47.916,48.193,47.888,48.11,1303,0
20050610,48.212,48.212,47.844,48.008,1953,0
20050613,47.953,48.147,47.906,47.972,2385,0
20050614,48,48.193,48,48.193,6071,0
20050615,48.368,48.368,48.119,48.359,7589,0
20050616,48.349,48.543,48.349,48.543,3469,0
20050617,48.672,48.829,48.653,48.829,5855,0
20050620,48.672,48.884,48.543,48.875,4012,0
20050621,48.764,48.856,48.747,48.829,5205,0
20050622,49.015,49.032,48.821,48.847,3469,0
20050623,48.903,48.903,48.425,48.468,5312,0
20050624,48.258,48.478,48.258,48.321,4877,0
20050627,48.072,48.119,48,48.11,18215,0
20050628,48.266,48.506,48.266,48.506,6832,0
20050629,48.728,48.802,48.617,48.737,7266,0
20050630,48.911,48.94,48.709,48.802,2279,0
20050701,48.627,48.691,48.468,48.572,17566,0
20050705,48.468,48.986,48.468,48.875,3905,0
20050706,48.875,48.986,48.719,48.719,7266,0
20050707,48.212,48.608,48.212,48.608,4228,0
20050708,48.7,49.299,48.7,49.299,5096,0
20050711,49.346,49.549,49.346,49.465,2385,0
20050712,49.586,49.696,49.465,49.604,3146,0
20050713,49.733,49.733,49.53,49.724,20711,0
20050714,49.899,49.899,49.705,49.771,5096,0
20050715,49.771,49.824,49.586,49.78,2600,0
20050718,49.631,49.631,49.437,49.475,6182,0
20050719,49.475,49.641,49.475,49.577,38280,0
20050720,49.437,49.824,49.428,49.714,5964,0
20050721,49.752,49.752,49.346,49.447,4121,0
20050722,49.419,49.658,49.383,49.658,4556,0
20050725,49.752,49.78,49.511,49.511,8242,0
20050726,49.658,49.705,49.521,49.677,2494,0
20050727,49.714,49.714,49.475,49.686,4877,0
20050728,49.824,49.899,49.686,49.899,2600,0
20050729,49.843,49.843,49.539,49.539,5421,0
20050801,49.521,49.668,49.511,49.539,3146,0
20050802,49.658,49.806,49.613,49.743,19196,0
20050803,49.798,49.88,49.686,49.88,6182,0
20050804,49.798,49.798,49.521,49.539,4121,0
20050805,49.428,49.428,48.737,48.856,9543,0
20050808,48.811,48.811,48.406,48.515,8242,0
20050809,48.691,48.847,48.635,48.681,16157,0
20050810,49.015,49.281,48.764,48.838,6616,0
20050811,48.635,49.005,48.635,49.005,4121,0
20050812,48.783,48.856,48.553,48.856,3794,0
20050815,48.755,49.143,48.7,49.115,4556,0
20050816,49.115,49.199,48.903,48.903,3146,0
20050817,48.884,48.968,48.645,48.847,6940,0
20050818,48.764,48.847,48.562,48.764,6398,0
20050819,48.802,48.93,48.802,48.894,4012,0
20050822,48.921,49.059,48.802,48.894,7700,0
20050823,49.059,49.059,48.653,48.847,5964,0
20050824,48.783,48.903,48.387,48.452,16047,0
20050825,48.459,48.6,48.406,48.497,10626,0
20050826,48.506,48.506,48.091,48.11,11059,0
20050829,47.861,48.331,47.816,48.304,6398,0
20050830,47.981,48.064,47.797,48.046,4556,0
20050831,48.046,48.406,47.834,48.406,18002,0
20050901,48.459,48.838,48.221,48.764,9327,0
20050902,48.755,48.783,48.581,48.627,2820,0
20050906,48.691,49.152,48.691,49.077,10626,0
20050907,49.225,49.225,48.949,49.162,4121,0
20050908,48.977,49.059,48.866,48.93,49229,0
20050909,48.968,49.243,48.958,49.152,4663,0
20050912,49.29,49.355,49.216,49.243,6616,0
20050913,49.199,49.216,48.949,49.015,6940,0
20050914,49.059,49.152,48.811,48.811,4446,0
20050915,48.894,48.894,48.764,48.793,1303,0
20050916,49.124,49.511,49.077,49.511,6182,0
20050919,49.484,49.484,49.05,49.105,5748,0
20050920,49.29,49.521,48.838,48.838,5205,0
20050921,48.783,48.783,48,48,7482,0
20050922,47.844,48.285,47.677,48.285,4556,0
20050923,48.119,48.534,47.981,48.452,2169,0
20050926,48.459,48.459,48.046,48.165,6723,0
20050927,48.212,48.249,47.916,48.081,6182,0
20050928,48.138,48.266,47.778,47.825,6071,0
20050929,47.953,48.562,47.769,48.534,9650,0
20050930,48.617,48.617,48.459,48.562,3577,0
20051003,48.645,48.691,48.406,48.497,31122,0
20051004,48.581,48.709,48.055,48.055,6182,0
20051005,48.119,48.119,47.178,47.685,5096,0
20051006,47.787,47.962,47.612,47.712,27437,0
20051007,47.769,47.769,47.612,47.731,1736,0
20051010,47.816,47.816,47.391,47.428,2279,0
20051011,47.529,47.538,47.078,47.095,19196,0
20051012,47.244,47.325,46.645,46.865,7806,0
20051013,46.662,46.818,46.532,46.532,3362,0
20051014,47.254,47.491,47.197,47.491,1303,0
20051017,47.64,47.74,47.344,47.465,19953,0
20051018,47.446,47.621,47.297,47.297,8892,0
20051019,47.031,48.138,46.994,48.138,4012,0
20051020,48.221,48.294,47.631,47.685,7156,0
20051021,47.816,48.193,47.769,47.962,16807,0
20051024,48.321,48.866,48.321,48.866,12253,0
20051025,48.875,48.875,48.406,48.691,7482,0
20051026,48.645,49.015,48.645,48.764,10192,0
20051027,48.719,48.856,48.525,48.525,11495,0
20051028,48.747,49.346,48.747,49.346,11929,0
20051031,49.567,49.798,49.465,49.465,17459,0
20051101,49.586,49.586,49.253,49.437,28843,0
20051102,49.484,50,49.484,50,12470,0
20051103,50.24,50.24,49.743,49.743,15396,0
20051104,49.982,49.982,49.658,49.936,8892,0
20051107,50.277,50.405,50.129,50.405,13448,0
20051108,50.185,50.203,50.056,50.194,9650,0
20051109,50.194,50.562,50.194,50.471,18111,0
20051110,50.527,51.365,50.489,51.31,28738,0
20051111,51.392,51.67,51.31,51.604,24940,0
20051114,51.495,51.632,51.449,51.632,19518,0
20051115,51.568,51.568,51.014,51.014,18870,0
20051116,51.171,51.171,50.674,50.802,6832,0
20051117,51.042,51.513,50.895,51.476,11386,0
20051118,51.642,51.689,51.411,51.623,7917,0
20051121,51.716,51.983,51.614,51.983,9761,0
20051122,51.882,52.435,51.817,52.435,7589,0
20051123,52.508,52.997,52.508,52.877,15832,0
20051125,52.923,52.923,52.813,52.896,10299,0
20051128,52.95,52.95,52.573,52.573,10954,0
20051129,52.739,52.767,52.5,52.563,15617,0
20051130,52.648,52.648,51.937,51.937,11929,0
20051201,52.334,52.563,52.334,52.463,43592,0
20051202,52.426,52.5,52.241,52.454,26243,0
