Date,Open,High,Low,Close,Volume,OpenInt
20140829,25.016,25.026,24.976,24.976,62345,0
20140902,24.976,24.996,24.926,24.996,23795,0
20140903,25.046,25.046,25.016,25.016,41723,0
20140904,25.096,25.136,25.046,25.046,15056,0
20140905,25.026,25.156,25.026,25.156,8566,0
20140908,25.146,25.176,25.086,25.146,89610,0
20140909,25.026,25.086,25.026,25.056,3004,0
20140910,24.976,24.976,24.946,24.946,7352,0
20140911,24.926,24.976,24.916,24.956,12577,0
20140912,24.776,24.776,24.776,24.776,1153,0
20140915,24.737,24.806,24.727,24.806,6949,0
20140916,24.866,24.866,24.836,24.836,4134,0
20140917,24.786,24.786,24.746,24.746,3112,0
20140918,24.896,24.896,24.896,24.896,560,0
20140919,24.876,24.936,24.876,24.926,3877,0
20140922,24.727,24.727,24.687,24.687,2001,0
20140923,24.628,24.628,24.598,24.598,1923,0
20140924,24.608,24.677,24.578,24.677,2846,0
20140925,24.389,24.389,24.349,24.379,1511,0
20140926,24.509,24.519,24.409,24.519,3734,0
20140929,24.409,24.459,24.399,24.459,25721,0
20140930,24.459,24.459,24.399,24.399,4884,0
20141001,24.239,24.259,24.129,24.129,7766,0
20141002,24.099,24.099,24.079,24.079,2491,0
20141003,24.199,24.229,24.199,24.229,2832,0
20141006,24.179,24.219,24.179,24.209,6332,0
20141007,24.119,24.119,23.969,23.969,10192,0
20141008,23.979,24.019,23.979,24.019,4034,0
20141009,23.959,23.959,23.959,23.959,1843,0
20141010,23.909,23.909,23.85,23.85,5165,0
20141013,23.86,23.86,23.83,23.83,7375,0
20141014,23.82,23.83,23.79,23.83,3063,0
20141015,23.62,23.62,23.59,23.6,9015,0
20141016,23.83,23.83,23.77,23.77,5342,0
20141017,23.7,23.72,23.7,23.7,3789,0
20141020,23.71,23.71,23.65,23.69,2911,0
20141021,23.77,23.79,23.77,23.79,8345,0
20141022,23.84,23.84,23.77,23.78,3618,0
20141023,23.74,23.76,23.72,23.76,1476,0
20141024,23.74,23.75,23.74,23.75,3108,0
20141027,23.73,23.74,23.72,23.73,3402,0
20141028,23.79,23.81,23.79,23.81,2820,0
20141029,23.82,23.83,23.82,23.83,6195,0
20141030,23.999,23.999,23.959,23.959,1780,0
20141031,24.169,24.189,24.149,24.179,5834,0
20141103,24.119,24.149,24.119,24.119,36879,0
20141104,23.999,24.049,23.989,24.039,47078,0
20141105,24.129,24.219,24.099,24.209,10808,0
20141106,24.229,24.279,24.229,24.239,2269,0
20141107,24.319,24.339,24.299,24.299,7925,0
20141110,24.349,24.349,24.329,24.329,2130,0
20141111,24.369,24.379,24.349,24.349,1223,0
20141112,24.429,24.449,24.419,24.449,3476,0
20141113,24.519,26.307,24.399,24.609,10274,0
20141114,24.619,24.639,24.599,24.639,6322,0
20141117,24.709,24.709,24.649,24.649,9194,0
20141118,24.828,24.858,24.818,24.858,6160,0
20141119,24.898,24.938,24.778,24.858,10945,0
20141120,24.858,24.938,24.858,24.908,7462,0
20141121,25.208,25.208,25.108,25.158,3148,0
20141124,25.178,25.218,25.168,25.218,7357,0
20141125,25.258,25.288,25.258,25.258,3944,0
20141126,25.228,25.258,25.228,25.258,3285,0
20141128,25.058,25.068,25.008,25.018,5622,0
20141201,24.778,24.798,24.778,24.798,6501,0
20141202,24.758,24.798,24.739,24.798,6769,0
20141203,24.838,24.868,24.838,24.858,5644,0
20141204,24.699,24.719,24.669,24.699,7964,0
20141205,24.778,24.808,24.758,24.798,6356,0
20141208,24.629,24.629,24.429,24.489,8222,0
20141209,24.229,24.379,24.219,24.329,11809,0
20141210,24.179,24.199,23.939,23.939,11013,0
20141211,24.179,24.179,24.089,24.089,4570,0
20141212,23.909,23.929,23.78,23.78,8521,0
20141215,23.59,23.59,23.59,23.59,13383,0
20141216,23.697,23.697,23.607,23.647,5116,0
20141217,23.747,23.747,23.717,23.717,3165,0
20141218,24.057,24.147,24.057,24.147,3179,0
20141219,24.277,24.367,24.277,24.367,3535,0
20141222,24.277,24.317,24.277,24.287,6782,0
20141223,24.267,24.297,24.257,24.287,6088,0
20141224,24.347,24.347,24.307,24.347,5712,0
20141226,24.307,24.367,24.307,24.367,5000,0
20141229,24.32,24.36,24.32,24.35,3006,0
20141230,24.21,24.25,24.2,24.23,4441,0
20141231,24.3,24.3,24.2,24.21,6312,0
20150102,24.01,24.03,23.97,24.01,7825,0
20150105,23.73,23.73,23.58,23.64,9452,0
20150106,23.39,23.58,23.39,23.58,16062,0
20150107,23.73,23.73,23.7,23.71,8148,0
20150108,24,24.16,24,24.14,7421,0
20150109,23.97,23.99,23.96,23.99,7281,0
20150112,23.88,23.88,23.84,23.84,3587,0
20150113,24.17,24.17,23.7,23.81,6914,0
20150114,23.6,23.61,23.46,23.61,6155,0
20150115,23.64,23.71,23.63,23.65,8236,0
20150116,23.77,23.85,23.77,23.85,6521,0
