Date,Open,High,Low,Close,Volume,OpenInt
20111004,44.383,46.149,44.383,46.149,12168,0
20111005,46.698,46.792,46.406,46.792,11215,0
20111006,47.529,47.748,47.198,47.748,29521,0
20111007,48.56,48.56,47.785,47.86,16189,0
20111017,48.996,48.996,48.976,48.976,6348,0
20111018,49.334,49.939,49.306,49.921,12610,0
20111019,49.629,49.629,49.391,49.391,2962,0
20111025,51.595,51.754,51.595,51.754,886,0
20111026,51.867,51.971,50.866,51.263,39625,0
20111027,52.547,53.124,52.501,53.124,1120,0
20111028,53.086,53.134,52.984,52.984,493,0
20111031,52.172,52.645,52.172,52.645,18094,0
20111101,50.261,50.544,49.733,49.733,13144,0
20111102,51.017,51.017,50.752,50.856,4717,0
20111103,51.67,52.405,51.528,52.405,20225,0
20111104,51.772,52.378,51.763,52.303,3758,0
20111107,51.896,52.529,51.896,52.529,212,0
20111108,52.236,52.86,52.236,52.86,282,0
20111109,51.744,51.952,51.376,51.376,14891,0
20111110,52,52,51.424,51.424,1895,0
20111111,52.405,52.699,52.405,52.529,4465,0
20111114,52.51,52.51,52.51,52.51,185,0
20111116,52.775,52.917,52.152,52.152,3786,0
20111117,53.513,53.513,50.791,50.933,5671,0
20111121,49.806,49.806,49.806,49.806,212,0
20111122,49.797,49.797,49.797,49.797,208,0
20111123,49.015,49.015,48.616,48.616,459,0
20111128,49.41,56.707,49.41,49.921,35653,0
20111129,50.234,50.347,50.1,50.1,13105,0
20111130,51.82,52.001,51.82,52.001,644,0
20111201,52.369,52.369,52.369,52.369,104,0
20111202,52.161,52.161,52.161,52.161,203,0
20111208,51.679,51.679,50.591,50.591,1598,0
20111213,51.319,51.319,51.319,51.319,104,0
20111214,50.11,50.11,50.11,50.11,104,0
20111216,50.895,50.895,50.875,50.875,306,0
20111220,51.933,51.933,51.933,51.933,122,0
20111221,52.104,52.133,52.104,52.133,615,0
20111222,52.927,52.927,52.927,52.927,424,0
20111223,53.2,53.2,52.946,53.03,4203,0
20111229,52.917,52.917,52.917,52.917,104,0
20120103,53.39,53.39,53.39,53.39,264,0
20120105,52.585,52.585,52.538,52.547,2954,0
20120111,54.409,54.826,54.409,54.77,43223,0
20120112,54.656,55.034,54.656,55.034,3142,0
20120113,54.362,54.362,54.354,54.362,2811,0
20120117,54.741,54.741,54.741,54.741,118,0
20120118,55.081,55.081,55.081,55.081,198,0
20120119,55.44,55.799,55.44,55.78,5016,0
20120120,55.61,55.61,55.61,55.61,104,0
20120123,56.027,56.027,55.44,55.45,6708,0
20120125,56.027,56.027,56.008,56.008,751,0
20120126,55.629,55.695,55.629,55.695,398,0
20120130,55.052,55.127,55.052,55.052,658,0
20120131,55.384,55.46,55.365,55.365,2126,0
20120201,56.688,56.83,56.688,56.83,355,0
20120203,57.501,57.699,57.501,57.604,1480,0
20120206,57.208,57.463,57.169,57.463,28018,0
20120207,57.359,57.745,57.312,57.662,1694,0
20120208,57.954,57.954,57.954,57.954,121,0
20120209,58.172,58.172,58.172,58.172,104,0
20120210,57.85,57.85,57.803,57.803,212,0
20120213,58.474,58.474,58.388,58.388,1296,0
20120214,57.765,57.793,57.765,57.793,2409,0
20120215,57.954,57.954,57.53,57.53,468,0
20120216,57.388,58.135,57.388,58.135,1738,0
20120222,58.125,58.805,57.926,57.983,11002,0
20120223,57.878,57.878,57.878,57.878,333,0
20120224,58.634,58.644,58.314,58.314,2610,0
20120227,57.907,58.228,57.907,58.228,297,0
20120228,57.954,57.964,57.793,57.793,740,0
