Date,Open,High,Low,Close,Volume,OpenInt
20060622,27.575,27.594,27.167,27.41,25008,0
20060623,28.245,28.245,28.245,28.245,3397,0
20060626,28.002,28.002,27.954,27.954,2264,0
20060627,28.643,28.818,28.099,28.108,64326,0
20060628,28.353,28.41,28.089,28.401,20791,0
20060629,28.799,29.353,28.741,29.343,23158,0
20060630,29.761,30.004,29.382,30.004,72147,0
20060703,30.139,30.509,30.139,30.509,2676,0
20060705,30.033,30.403,29.79,30.403,14407,0
20060706,30.373,30.373,29.8,29.916,13586,0
20060707,30.033,30.139,29.168,29.216,14924,0
20060710,29.265,29.547,29.081,29.206,25730,0
20060711,29.285,29.82,29.255,29.82,21098,0
20060712,29.722,29.887,29.614,29.771,54960,0
20060713,29.45,29.586,29.041,29.09,28818,0
20060714,29.314,29.334,28.575,29.149,60416,0
20060717,28.973,28.973,27.915,28.002,8130,0
20060718,28.303,28.303,27.478,27.536,8336,0
20060719,27.944,28.138,27.905,27.983,20994,0
20060720,28.235,28.235,27.253,27.283,52182,0
20060721,26.613,26.749,26.273,26.273,6485,0
20060724,26.952,27.128,26.952,27.128,9366,0
20060725,27.478,28.089,27.478,28.089,21614,0
20060726,27.983,29.032,27.925,28.945,38390,0
20060727,29.149,29.314,28.575,28.614,13691,0
20060728,28.546,28.614,28.147,28.614,17806,0
20060731,29.13,29.314,28.886,29.246,6276,0
20060801,29.168,29.586,29.168,29.586,7101,0
20060802,29.926,30.198,29.343,29.576,8953,0
20060803,29.081,29.255,28.896,29.178,6793,0
20060804,28.965,28.965,28.439,28.439,16366,0
20060807,28.955,28.955,28.468,28.771,617,0
20060808,28.653,28.945,28.401,28.401,13894,0
20060809,28.517,28.818,28.372,28.372,45902,0
20060810,28.032,28.254,27.993,28.254,4324,0
20060811,28.254,28.254,27.876,27.993,4016,0
20060814,27.546,27.546,27.36,27.39,11014,0
20060815,27.449,27.739,27.429,27.729,5763,0
20060816,28.216,28.294,27.915,28.128,10085,0
20060817,27.663,27.72,27.507,27.507,19453,0
20060818,27.944,28.167,27.653,28.167,5043,0
20060821,28.343,28.382,28.254,28.382,3808,0
20060822,28.459,28.565,28.419,28.498,8748,0
20060823,28.343,28.343,27.798,27.915,19041,0
20060824,27.847,27.964,27.798,27.964,6381,0
20060825,28.643,28.643,28.274,28.459,5558,0
20060828,28.147,28.147,27.71,27.71,2470,0
20060829,27.458,27.856,27.458,27.856,4117,0
20060830,27.7,27.7,27.244,27.585,32522,0
20060831,27.526,27.983,27.526,27.68,1748,0
20060901,28.032,28.284,27.915,28.284,2984,0
20060905,28.741,28.916,28.692,28.857,4220,0
20060906,28.604,28.623,27.856,27.856,112286,0
20060907,27.788,27.885,27.536,27.885,36846,0
20060908,27.36,27.36,27.118,27.118,1236,0
20060911,26.652,26.652,25.894,25.894,3191,0
20060912,25.981,26.029,25.419,25.621,2058,0
20060913,26.029,26.342,25.952,26.342,2161,0
20060914,26.283,26.388,25.564,25.564,5763,0
20060915,25.466,25.728,25.466,25.582,5353,0
20060918,25.952,26.137,25.689,26.137,1031,0
20060919,26.322,26.322,25.438,25.631,5146,0
20060920,25.602,25.728,24.893,24.893,7617,0
20060921,24.961,25.32,24.961,25.291,927,0
20060922,25.262,25.262,24.884,24.951,2161,0
20060925,24.708,25.049,24.242,24.961,9778,0
20060926,25.126,25.544,24.582,25.389,10190,0
20060927,25.631,25.933,25.466,25.768,93145,0
20060928,25.875,26.263,25.845,25.884,16983,0
20060929,25.807,26.107,25.807,26.048,1031,0
20061002,26.137,26.137,25.369,25.369,4527,0
