Date,Open,High,Low,Close,Volume,OpenInt
20050225,40.241,41.272,40.148,41.068,7345482,0
20050228,41.376,41.607,39.433,40.772,10190018,0
20050301,40.677,40.911,39.925,39.98,8024888,0
20050302,39.813,40.64,39.72,40.567,6577668,0
20050303,40.725,41.319,40.677,41.236,10609364,0
20050304,41.282,41.923,41.022,41.766,6443442,0
20050307,41.607,41.803,41.004,41.477,7745792,0
20050308,41.329,41.775,41.282,41.431,6230917,0
20050309,41.738,41.971,40.213,40.288,16753380,0
20050310,40.259,40.492,39.098,39.47,21339831,0
20050311,39.338,40.167,39.227,39.795,11772002,0
20050314,39.887,40.204,39.171,40.083,10925351,0
20050315,40.167,40.605,39.516,39.525,13254285,0
20050316,39.516,40.213,39.144,39.655,13124898,0
20050317,39.887,40.399,39.887,40.343,12685874,0
20050318,40.772,40.772,40.204,40.706,8675146,0
20050321,40.631,40.818,40.018,40.353,9528787,0
20050322,40.213,40.966,39.813,39.868,10529345,0
20050323,39.423,39.6,38.772,39.107,26175480,0
20050324,39.329,39.673,38.706,39.079,11702200,0
20050328,39.144,39.357,38.772,39.125,11632399,0
20050329,39.144,39.628,38.438,38.493,9893282,0
20050330,38.586,39.125,37.917,39.07,26002105,0
20050331,39.692,39.98,39.423,39.86,13430130,0
20050401,40.381,40.901,39.841,40.844,10311122,0
20050404,41.004,41.357,40.185,40.492,15169356,0
20050405,40.129,40.677,39.701,39.98,9628703,0
20050406,39.97,40.799,39.701,40.612,11238757,0
20050407,40.911,41.096,39.999,40.454,20748508,0
20050408,40.167,40.529,39.711,39.72,12596816,0
20050411,39.655,40.102,39.329,40.018,12503891,0
20050412,39.878,40.018,39.199,39.385,15789931,0
20050413,39.061,39.609,38.4,38.419,19455412,0
20050414,38.633,39.07,38.279,38.4,21012335,0
20050415,38.168,38.354,36.885,36.94,43324652,0
20050418,36.904,37.684,36.642,37.61,33705303,0
20050419,38.084,38.725,37.898,38.493,21657217,0
20050420,38.743,38.875,37.703,37.703,22977953,0
20050421,37.805,39.004,37.703,39.004,16025254,0
20050422,39.144,39.506,38.187,39.089,12319225,0
20050425,39.423,39.878,39.338,39.637,13938314,0
20050426,39.516,39.795,38.986,38.986,15127193,0
20050427,38.967,39.051,37.953,37.982,32210870,0
20050428,37.703,37.842,37.163,37.219,25754089,0
20050429,37.563,37.907,37.2,37.703,16059564,0
20050502,37.647,38.428,37.35,38.381,24579725,0
20050503,38.307,38.307,37.341,37.479,13191259,0
20050504,37.479,37.953,36.595,37.917,20417788,0
20050505,38.261,38.538,37.888,38.325,14367660,0
20050506,38.493,38.838,38.168,38.214,9670006,0
20050509,38.4,38.753,38.269,38.725,9965774,0
20050510,38.762,38.762,37.963,38.074,17571099,0
20050511,37.805,38.344,37.656,38.307,11732961,0
20050512,37.982,38.168,36.595,36.633,25157391,0
20050513,36.913,36.913,35.89,36.076,23770505,0
20050516,35.881,35.982,35.276,35.918,25940799,0
20050517,35.954,36.623,35.843,36.559,19947463,0
20050518,36.875,37.173,36.262,36.485,30036057,0
20050519,36.671,37.182,36.354,37.145,16976228,0
20050520,36.96,37.378,36.857,36.866,13784407,0
20050523,37.098,37.619,36.986,37.479,12138429,0
20050524,37.536,37.768,37.451,37.637,13212661,0
20050525,37.721,38.4,37.479,38.214,16784034,0
20050526,38.279,38.511,38.047,38.409,9636665,0
20050527,38.567,39.061,38.493,39.051,10799515,0
20050531,39.134,39.134,38.466,38.753,9634943,0
20050601,38.977,39.767,38.875,39.487,14967586,0
20050602,39.404,39.665,39.051,39.414,18230071,0
20050603,39.487,39.841,39.376,39.637,9800356,0
20050606,39.887,39.887,39.414,39.757,9428227,0
20050607,39.795,40.055,39.347,39.376,10021482,0
20050608,39.338,40.111,39.18,39.487,17883324,0
20050609,39.609,40.668,39.516,40.631,17715755,0
20050610,40.558,40.706,40.129,40.586,12590687,0
20050613,40.362,40.863,40.25,40.744,11759093,0
20050614,40.586,41.068,40.586,40.995,11360829,0
20050615,40.911,41.486,40.911,41.486,12096162,0
20050616,41.598,42.073,41.459,42.073,10560965,0
20050617,42.583,42.687,42.082,42.621,20679892,0
20050620,42.779,42.91,42.333,42.668,11774691,0
20050621,42.073,42.602,41.738,41.766,17903652,0
20050622,41.84,42.277,41.45,42.007,25531887,0
20050623,42.036,42.807,41.988,42.045,16068814,0
20050624,42.212,42.397,41.729,41.785,9667528,0
20050627,42.119,42.546,41.98,42.426,11935265,0
20050628,42.258,42.426,41.626,41.635,13715248,0
20050629,41.543,41.878,41.236,41.598,13458526,0
20050630,41.654,42.119,41.291,41.329,15829832,0
20050701,41.385,42.268,41.385,42.249,9234849,0
20050705,42.602,43.541,42.435,43.514,18008727,0
20050706,43.979,43.979,42.621,42.733,15789286,0
20050707,42.166,43.291,42.166,43.282,16889005,0
20050708,43.458,43.654,42.659,42.993,16313170,0
20050711,42.583,43.346,42.463,43.31,10712505,0
20050712,43.523,43.914,43.197,43.7,15089767,0
20050713,43.719,43.886,43.282,43.449,12653606,0
20050714,43.43,43.727,42.166,42.407,34698118,0
20050715,42.769,42.769,42.017,42.184,22978168,0
20050718,41.859,42.258,41.71,42.007,13641149,0
20050719,42.212,42.91,41.98,42.91,13234061,0
20050720,42.891,43.096,42.352,42.955,11866863,0
20050721,42.797,43.105,42.287,42.538,12756425,0
20050722,42.974,44.127,42.955,44.062,25944886,0
20050725,43.867,44.825,43.867,44.472,18328694,0
20050726,44.426,44.676,44.118,44.369,8499625,0
20050727,44.445,44.621,43.941,44.593,13226210,0
20050728,44.788,44.908,44.23,44.722,9118477,0
20050729,45.076,45.076,44.248,44.258,9489316,0
20050801,44.462,44.946,44.426,44.722,7615328,0
20050802,44.899,45.504,44.835,45.466,8429712,0
20050803,45.829,45.839,45.103,45.244,11430848,0
20050804,45.187,45.791,45.187,45.336,11344159,0
20050805,45.373,45.559,44.676,44.992,9949422,0
20050808,45.355,46.108,45.355,45.643,12489804,0
20050809,45.763,45.885,45.326,45.54,9601816,0
20050810,45.791,46.368,45.652,46.284,12869354,0
20050811,46.451,46.87,46.22,46.731,13767199,0
20050812,46.955,47.002,46.415,46.647,9893821,0
20050815,46.442,46.581,46.025,46.192,11003221,0
20050816,46.089,46.229,45.159,45.178,17955383,0
20050817,45.14,45.652,43.932,44.137,30207281,0
20050818,43.839,44.322,43.579,44.043,17599816,0
20050819,44.304,44.927,44.304,44.797,13221264,0
20050822,45.058,45.457,44.453,44.908,14090928,0
20050823,44.908,45.187,44.304,44.825,18205335,0
20050824,45.187,45.559,44.806,45.254,15660868,0
20050825,45.438,45.438,44.88,45.131,13890883,0
20050826,44.918,45.317,44.583,44.621,10964501,0
20050829,45.559,45.606,44.631,44.983,16230679,0
20050830,45.169,45.949,45.14,45.82,16240679,0
20050831,45.857,47.317,45.773,47.084,23024203,0
20050901,47.697,48.376,47.419,48.312,21302294,0
20050902,47.93,47.93,47.26,47.373,15579233,0
20050906,47.382,47.81,46.898,47.707,13011000,0
20050907,47.595,48.302,47.493,47.781,14088351,0
20050908,47.651,48.228,47.651,47.847,17103033,0
20050909,48.051,49.112,48.051,49.093,14513396,0
20050912,48.898,48.999,48.014,48.088,15034163,0
20050913,48.116,48.489,47.67,47.679,11683270,0
20050914,47.94,48.489,47.735,48.275,13209972,0
20050915,48.703,48.739,47.689,48.275,16090325,0
20050916,48.302,48.655,48.19,48.609,14944571,0
20050919,49.194,50.162,49.093,49.893,17414072,0
20050920,49.697,49.92,49.112,49.418,16362213,0
20050921,50.395,50.496,49.715,50.115,21432648,0
20050922,50.813,50.813,48.767,49.744,27874694,0
20050923,49.464,49.65,48.59,48.87,17243495,0
20050926,48.534,49.846,48.534,49.762,12597463,0
20050927,49.437,49.817,49.185,49.798,7634045,0
20050928,50.115,50.301,49.361,50.208,18525624,0
20050929,50.515,50.729,50.079,50.692,14817768,0
20050930,50.562,50.664,49.827,49.901,10937290,0
20051003,50.255,50.487,49.585,49.772,7129303,0
20051004,49.334,49.558,47.893,47.977,18935826,0
20051005,48.07,48.171,46.136,46.136,33939120,0
20051006,45.726,46.043,44.312,45.039,54692470,0
20051007,45.588,46.127,45.326,46.052,23147349,0
20051010,46.025,46.136,45.039,45.355,17451501,0
20051011,45.987,46.722,45.791,46.442,18328265,0
20051012,46.581,46.61,45.28,45.55,22224014,0
20051013,45.001,45.28,43.43,44.312,42175672,0
20051014,43.979,45.113,43.329,44.946,33429433,0
20051017,45.931,45.931,45.244,45.504,16118394,0
20051018,44.927,45.364,43.383,43.392,33657873,0
20051019,43.392,44.453,42.444,44.369,49787020,0
20051020,44.072,44.277,41.785,42.352,51564642,0
20051021,42.564,43.523,42.175,42.788,33859642,0
20051024,42.583,44.322,42.574,44.312,33206802,0
20051025,44.472,45.457,44.211,45.235,36129849,0
20051026,45.225,46.432,44.769,44.964,33261650,0
20051027,45.438,45.438,43.487,43.69,29323743,0
20051028,43.746,45.085,43.058,44.88,31017795,0
20051031,45.14,46.015,44.49,45.392,24398181,0
20051101,45.15,45.791,45.094,45.671,22265964,0
20051102,45.615,46.591,45.512,46.564,22511610,0
20051103,46.936,47.689,46.778,47.446,20433490,0
20051104,47.188,47.373,45.922,46.025,31696984,0
20051107,45.745,46.089,44.983,45.225,23163157,0
20051108,45.103,45.931,44.889,45.606,14491454,0
20051109,45.466,46.341,44.769,45.187,34648967,0
20051110,44.844,44.863,43.449,43.784,43075237,0
20051111,43.468,44.379,43.468,44.137,16767578,0
20051114,44.769,44.816,43.989,44.369,16615283,0
20051115,44.295,45.504,44.239,44.445,27093005,0
20051116,44.445,45.597,44.388,45.597,24603818,0
20051117,46.108,46.117,45.206,45.578,19856257,0
20051118,45.745,45.922,45.068,45.597,25827869,0
20051121,46.052,46.731,45.81,46.731,19147167,0
20051122,47.14,47.578,46.88,47.475,15499862,0
20051123,47.169,47.735,46.796,47.298,13137590,0
20051125,47.279,47.624,47.241,47.419,3952539,0
20051128,47.15,47.15,45.763,45.82,23764807,0
20051129,46.211,46.451,45.745,45.894,16135172,0
20051130,45.791,46.581,45.791,46.071,19135658,0
20051201,46.442,47.53,46.432,47.53,20090612,0
20051202,47.93,47.93,47.074,47.578,16613135,0
20051205,48.07,48.349,47.661,47.912,21802304,0
20051206,47.8,48.534,47.633,48.116,15073418,0
20051207,48.433,48.851,47.633,47.94,35925931,0
20051208,48.051,48.832,47.977,48.786,17539265,0
20051209,48.357,48.674,47.968,48.18,15211623,0
20051212,48.823,48.841,48.293,48.804,14526195,0
20051213,48.953,49.456,48.534,48.6,20336262,0
20051214,48.628,49.242,48.423,49.185,17061517,0
20051215,48.907,49.232,48.442,48.795,16522144,0
20051216,48.674,48.898,47.419,47.484,24450342,0
20051219,47.744,47.977,47.084,47.093,20904030,0
20051220,47.232,47.883,47.232,47.735,15696682,0
20051221,47.883,48.321,47.614,47.838,19025095,0
20051222,48.116,48.218,47.633,47.781,9051687,0
20051223,47.419,47.819,46.87,47.651,14945968,0
20051227,47.232,47.232,45.987,46.246,27589464,0
20051228,46.517,47.214,46.47,46.945,20863913,0
20051229,46.805,47.39,46.536,46.581,13510796,0
20051230,46.303,47.14,46.154,46.778,13027560,0
20060103,47.074,48.999,47.074,48.999,26017914,0
20060104,48.72,49.232,48.339,49.138,21508149,0
20060105,49.232,49.279,48.051,48.516,25340552,0
20060106,49.307,49.836,49.065,49.706,19516287,0
20060109,49.697,49.92,49.166,49.65,16385769,0
20060110,49.65,50.45,49.558,50.19,18815904,0
20060111,49.976,50.627,49.371,50.405,21203669,0
20060112,50.813,51.175,49.92,50.041,24004323,0
20060113,49.604,50.739,49.604,50.636,19046175,0
20060117,51.417,51.799,51.259,51.751,16560973,0
20060118,51.65,51.742,50.385,51.1,23242104,0
20060119,50.785,52.347,50.785,52.216,28404707,0
20060120,52.905,53.472,52.068,52.449,30889912,0
20060123,52.439,53.277,51.985,53.025,23287276,0
20060124,52.551,53.183,52.542,52.709,21185062,0
20060125,53.192,53.277,51.09,51.603,39901055,0
20060126,51.473,51.835,50.719,51.77,29070994,0
20060127,52.17,52.914,52.077,52.673,24604251,0
20060130,53.286,54.188,53.183,53.881,31025968,0
20060131,53.695,53.881,53.248,53.612,18895603,0
20060201,53.63,53.992,52.31,52.338,34949680,0
20060202,52.374,52.616,51.138,51.817,38699590,0
20060203,51.835,51.956,51.081,51.343,22436540,0
20060206,51.845,52.673,51.789,52.347,23634776,0
20060207,51.789,51.789,49.948,50.162,39271983,0
20060208,50.291,50.44,49.093,50.171,47633400,0
20060209,50.672,51.09,48.925,49.027,33608615,0
20060210,49.185,49.437,47.968,48.851,46660916,0
20060213,48.953,49.558,48.414,48.655,25188902,0
20060214,47.883,48.581,47.679,48.107,33179803,0
20060215,48.395,48.814,47.503,47.847,55961691,0
20060216,48.312,49.018,48.293,48.943,29186828,0
20060217,49.939,50.19,48.999,49.289,25389380,0
20060221,50.115,50.672,49.846,50.255,22452991,0
20060222,49.836,49.883,49.084,49.316,26117935,0
20060223,49.194,49.92,48.442,49.26,31167937,0
20060224,50.208,50.329,49.798,49.864,17762113,0
20060227,49.604,49.744,48.999,48.999,17246507,0
20060228,48.86,48.86,48.228,48.665,25635028,0
20060301,49.037,49.52,48.888,49.493,14407026,0
20060302,49.65,50.414,49.456,50.319,22640241,0
20060303,50.301,50.692,49.789,50.329,24224805,0
20060306,49.883,50.003,48.552,48.581,25367868,0
20060307,48.349,48.674,47.568,47.864,25669228,0
20060308,47.39,48.433,47.093,47.864,43866821,0
20060309,47.847,48.552,47.493,47.522,24536388,0
20060310,47.326,48.116,47.002,47.781,25704614,0
20060313,48.061,48.776,47.93,48.72,12906998,0
20060314,48.748,49.697,47.828,49.622,17857833,0
20060315,49.371,49.893,49.194,49.883,23301362,0
20060316,49.901,50.739,49.558,50.672,29364287,0
20060317,50.487,50.813,49.836,49.883,25056182,0
20060320,49.744,50.105,48.72,48.776,24623180,0
20060321,48.628,49.418,48.367,48.693,27335963,0
20060322,48.693,49.669,48.655,49.018,23621438,0
20060323,49.427,49.827,49.297,49.744,18667808,0
20060324,49.697,50.487,49.669,50.079,22863951,0
20060327,49.697,50.468,49.539,50.338,20833475,0
20060328,50.627,51.223,50.562,50.729,24201790,0
20060329,50.581,51.362,50.581,51.324,19584795,0
20060330,51.417,51.789,51.072,51.295,25236762,0
20060331,50.859,50.906,50.264,50.581,27801018,0
20060403,50.906,51.77,50.71,50.859,19777099,0
20060404,50.44,51.622,50.44,51.529,14816476,0
20060405,51.51,52.393,51.241,52.374,21956535,0
20060406,52.775,52.867,51.947,52.487,22878362,0
20060407,52.253,52.458,51.381,51.463,23332017,0
20060410,52.039,52.579,51.881,52.439,18593812,0
20060411,52.905,53.11,51.817,52.068,14837878,0
20060412,51.909,52.384,51.481,51.723,17585941,0
20060413,51.195,51.937,50.942,51.891,12265772,0
20060417,52.69,52.848,52.244,52.848,14751946,0
20060418,53.277,54.235,53.183,54.141,31431437,0
20060419,53.834,54.996,53.742,54.978,26097288,0
20060420,54.672,55.025,53.463,54.411,28249189,0
20060421,54.811,55.648,54.411,55.545,21085149,0
20060424,55.321,55.415,54.411,54.699,31679776,0
20060425,55.276,55.535,53.379,53.992,36391630,0
20060426,54.105,54.978,53.072,53.138,31649447,0
20060427,51.928,53.556,51.371,52.533,48269033,0
20060428,52.877,53.798,52.877,53.128,20492963,0
20060501,53.509,54.513,53.397,54.001,21075682,0
20060502,54.606,55.266,54.272,55.201,20479522,0
20060503,54.987,55.192,53.937,54.345,27732508,0
20060504,53.881,54.597,53.119,54.095,29910652,0
20060505,54.745,54.996,54.281,54.726,16905458,0
20060508,54.038,54.588,53.556,54.485,18383654,0
20060509,54.299,55.09,54.244,54.811,14161054,0
20060510,54.643,55.331,54.458,55.321,22150772,0
20060511,55.796,55.926,54.44,54.606,23420425,0
20060512,54.44,54.44,52.69,52.757,37793679,0
20060515,51.723,52.533,51.072,51.65,31279683,0
20060516,51.975,52.551,51.362,51.835,22158624,0
20060517,51.371,51.985,50.133,50.515,39219709,0
20060518,50.543,51.09,49.836,49.901,26629562,0
20060519,49.631,50.627,48.898,50.227,43347559,0
20060522,49.371,50.338,48.581,49.939,40375035,0
20060523,50.868,51.51,49.744,49.948,31380889,0
20060524,49.371,50.348,48.489,49.334,41167156,0
20060525,50.013,51.241,49.753,51.063,34684456,0
20060526,51.037,51.436,50.775,51.231,15469533,0
20060530,51.696,51.975,50.367,50.422,20870044,0
20060531,50.246,51.65,50.227,51.65,21425549,0
20060601,51.138,52.058,50.775,51.789,21353489,0
20060602,52.301,52.654,51.687,52.56,19022622,0
20060605,53.147,53.165,50.868,50.906,39473212,0
20060606,50.804,51.473,50.385,50.859,26803797,0
20060607,50.505,50.756,48.907,48.907,49913716,0
20060608,48.552,49.697,47.373,49.594,81078967,0
20060609,50.032,50.032,48.637,49.093,33811135,0
20060612,49.39,49.688,48.014,48.088,23380738,0
20060613,47.465,48.218,46.498,46.666,40424079,0
20060614,46.842,47.959,46.675,47.864,42575873,0
