Date,Open,High,Low,Close,Volume,OpenInt
20070615,30,30,30,30,0,0
20070618,29.5,29.5,26,29,153680,0
20070619,29,29,27.5,28.75,12900,0
20070620,28.75,28.75,27.5,27.75,12880,0
20070621,27.75,28.45,26.5,27.5,12880,0
20070622,28,28.9,27.5,27.5,5160,0
20070625,27.5,28.2,27.5,28.05,4560,0
20070626,27.75,27.9,27.5,27.5,6200,0
20070627,28,28,27.5,27.55,2640,0
20070628,27.55,27.55,26.75,27.25,5280,0
20070629,27.25,27.25,26.05,26.35,6120,0
20070702,26.05,26.5,25.75,26,3520,0
20070703,25.25,26.1,25.25,26.1,6020,0
20070705,25.25,26.5,25.25,26.5,1880,0
20070706,26,28,25.8,25.8,2820,0
20070709,26.5,27.75,25.8,26.5,26000,0
20070710,26.5,28.25,26.25,28,19200,0
20070711,28.5,29.75,28.25,28.5,18580,0
20070712,29.5,29.5,27.65,28.25,13380,0
20070713,28.75,29.1,28.4,28.5,13280,0
20070716,29,29.75,28.75,29.55,33580,0
20070717,29.35,30,29.3,29.7,23140,0
20070718,29.75,29.75,28.8,29.5,2500,0
20070719,29,29.5,28.6,29.05,6440,0
20070720,29.45,29.5,29.25,29.45,1200,0
20070723,29.5,29.5,29,29,2420,0
20070724,29.45,29.5,28.25,28.25,4740,0
20070725,28.25,28.45,27.85,28.45,16820,0
20070726,28.4,28.4,26.5,27.5,3580,0
20070727,27.5,29,26.65,28.5,6960,0
20070730,29.5,29.5,27.95,27.95,2420,0
20070731,28.2,28.2,26.1,26.95,2420,0
20070801,27.25,27.25,25,25.45,12420,0
20070802,25.95,25.95,24.75,25.5,9600,0
20070803,25.5,25.75,24.55,24.55,3580,0
20070806,25.5,25.5,24.75,24.75,660,0
20070807,24.5,25.45,23.25,25.2,13040,0
20070808,25.2,25.2,22.2,23.5,3500,0
20070809,24.8,24.8,20,22.5,17760,0
20070810,23.35,23.35,20.25,21.5,3760,0
20070813,20.1,23,19.75,23,20000,0
20070814,22.05,22.7,20.95,22.4,2940,0
20070815,21.5,21.5,20,21.15,2200,0
20070816,21.15,21.75,20.95,21.7,2360,0
20070817,21.95,21.95,19.95,20.85,4000,0
20070820,20.9,20.9,19.95,20.9,1960,0
20070821,21.25,21.25,19.55,20.05,2140,0
20070822,20.45,20.45,19.3,19.75,1880,0
20070823,20.1,20.1,19.45,19.6,1040,0
20070824,19.5,19.5,17.25,17.8,9760,0
20070827,17.55,20.35,17.55,18.7,1560,0
20070828,19.5,20.7,19.05,19.25,1940,0
20070829,20,21,18.75,21,1040,0
20070830,21.95,21.95,20,20.95,920,0
20070831,20.05,20.95,18.75,20.2,1020,0
20070904,20,20.1,18.75,20,2440,0
20070905,19,19.85,16.3,16.35,12880,0
20070906,16.45,19.3,16.25,19.3,3240,0
20070907,19.9,19.9,16.5,19,2280,0
20070910,19.7,19.7,17.5,18.5,600,0
20070911,19.75,19.75,19,19,6640,0
20070912,19.45,19.5,18,18.3,3200,0
20070913,17.05,19.05,17.05,19.05,260,0
20070914,18.5,19.5,16.25,19.5,5440,0
20070917,19.5,19.5,18.25,18.55,620,0
20070918,19,19.5,19,19.5,1300,0
20070919,18.75,19.5,17.75,19,3600,0
20070920,17.8,19,17.25,18.5,620,0
20070921,17.5,17.75,14.3,17.4,3440,0
20070924,16.75,18.5,16.75,18.5,1620,0
20070925,18.25,18.25,16.4,17,2720,0
20070926,17.5,17.9,17.1,17.5,7280,0
20070927,18.5,18.5,16.25,17.95,1700,0
20070928,17,17.5,16.55,17.5,2820,0
20071001,16.6,17.5,16.6,16.75,5600,0
20071002,17.05,18,16.5,17.5,19000,0
20071003,17.5,17.95,17.4,17.95,7260,0
20071004,17.5,17.85,17.25,17.75,3020,0
20071005,17.95,19.5,17.5,19.5,2580,0
20071008,18.75,19.25,17.7,18.25,360,0
20071009,17.75,18.25,17.5,17.5,1240,0
20071010,17.5,19.5,17.5,19.25,8720,0
20071011,19.7,22,18.9,21.25,15620,0
20071012,20,20.5,19.05,20.45,7420,0
20071015,20.45,20.45,20,20,320,0
20071016,19.5,20,18.5,19.5,1040,0
20071017,20,20,18.75,19.5,2540,0
20071018,18.5,19.5,17.5,18.75,2880,0
20071019,18.75,19.25,18.7,19,1580,0
20071022,19,19,18.05,18.75,2060,0
20071023,18.75,18.75,17.55,18.25,3440,0
20071024,18.9,18.9,16.75,17,4780,0
20071025,17,17.75,17,17.75,980,0
20071026,17.75,17.75,16.75,17.5,8860,0
20071029,17.25,17.45,16,16.25,3460,0
20071030,16.45,17.5,14.75,15.55,52040,0
20071031,16,16.45,16,16,560,0
20071101,15.75,15.75,15,15.45,1840,0
20071102,15,17.7,15,16.25,2840,0
20071105,17.4,17.4,15,16.4,5120,0
20071106,16.05,16.25,14.7,14.75,9040,0
20071107,16.15,16.2,14.75,16.2,2380,0
20071108,15.45,15.7,14.8,15.2,2700,0
20071109,15,15.45,10.85,15.45,13020,0
20071112,14.95,16.15,13.1,15.45,27520,0
20071113,15.05,16.15,13.8,15.6,6820,0
20071114,15,15.5,14.1,15.5,2660,0
20071115,15,15,14.75,15,940,0
20071116,14.95,15,14.3,14.6,1780,0
20071119,14.75,15,14.25,15,2140,0
20071120,14.5,15.75,14.5,15,13900,0
20071121,14.55,15.2,13.4,15,1620,0
20071123,14.5,15.85,13.75,14.4,2600,0
20071126,13.8,14.95,13.8,14.95,840,0
20071127,14.5,14.95,14.1,14.9,760,0
20071128,14.5,14.5,13.5,14.45,2240,0
20071129,13.75,21.8,10.5,16,1760,0
20071130,15.05,16.1,13.25,16.1,2260,0
20071203,14,15,14,14.95,10360,0
20071204,14.15,14.75,13,14.35,2820,0
20071205,13.75,14.25,10.1,11.5,39800,0
20071206,11.5,13.75,11.5,13.45,10740,0
20071207,13,13.75,12.5,13.25,2760,0
20071210,14.25,14.25,11.5,12.5,3580,0
20071211,12.5,13.25,12,12.75,4100,0
20071212,12.5,13,11.05,13,11460,0
20071213,12.5,12.5,11.5,12.45,4980,0
20071214,12.5,12.5,11.5,11.5,27020,0
20071217,11.25,12.15,10.25,11.15,13260,0
20071218,11.2,13,11.2,11.9,3740,0
20071219,11.75,11.75,10.75,11.5,2260,0
20071220,10.45,11.15,10,10.75,6220,0
20071221,10.75,11.3,10.3,11.25,1380,0
20071224,10.85,12,10.3,12,1460,0
20071226,11.5,12,10.5,12,32320,0
20071227,11,11.25,10.55,10.7,3220,0
20071228,10.65,11.05,9.9,11.05,5720,0
20071231,11.75,11.75,9.9,9.9,5835,0
20080102,9.1,12.5,9.1,12.5,4680,0
20080103,12.85,12.95,11.05,12.25,4960,0
20080104,11.75,12.4,11,12.4,4820,0
20080107,12,12,11,12,1880,0
20080108,12,12,11.3,11.9,1381,0
20080109,11.95,12,11.05,11.9,1820,0
20080110,12.6,13.25,12.25,12.85,9920,0
20080111,12,12.5,12,12.5,660,0
20080114,12.5,12.5,12.5,12.5,100,0
20080115,12.25,12.5,12.25,12.5,820,0
20080116,12.25,12.25,11.75,12,1740,0
20080117,11.25,11.85,9.55,11,5880,0
20080118,10.5,10.7,9.75,10.45,2600,0
20080122,10.75,10.75,8.75,9.45,7720,0
20080123,9.5,9.5,7.5,8.75,5240,0
20080124,9.45,10.25,9.2,10,4580,0
20080125,10.15,13,10.15,12.5,10940,0
20080128,12.75,12.75,12,12.25,1920,0
20080129,12.25,12.25,10.75,11.75,11273,0
20080130,11.5,12.15,10.5,12.15,6400,0
20080131,12.15,12.15,10.55,12,1840,0
20080201,11.5,12.25,11.5,12.25,980,0
20080204,12.5,13.25,12.25,12.25,4440,0
20080205,12,12.25,11.5,12.15,1980,0
20080206,11.95,12.2,11,11.95,1420,0
20080207,11.5,11.9,11.45,11.7,740,0
20080208,11.5,11.5,10.25,11.25,3260,0
20080211,11,11.5,11,11.35,1160,0
20080212,11.4,11.5,11.2,11.2,34040,0
20080213,11,12.3,10.25,12.3,1900,0
20080214,11.95,12.85,11,11.75,1860,0
20080215,11.75,11.75,10.25,11.7,3320,0
20080219,11,11.75,10.75,11.75,460,0
20080220,11.05,12,11,12,5740,0
20080221,11.65,12,11.25,12,1620,0
20080222,10.65,11.5,10.65,11.4,2820,0
20080225,11.3,11.95,10.55,11.5,9480,0
20080226,11.25,11.5,10.5,11,3260,0
20080227,10.75,11.95,10.75,11.95,5606,0
20080228,11.6,13,11.6,13,4001,0
20080229,12.9,13,12.5,13,5599,0
20080303,13.4,13.4,12.75,13,2540,0
20080304,12.75,12.75,12.55,12.7,1280,0
20080305,13,13.75,12.75,13,3180,0
20080306,13.25,13.25,12.25,12.25,880,0
20080307,12,14.85,12,14.5,12100,0
20080310,14.95,14.95,13.15,14.2,8260,0
20080311,15.15,15.15,13.5,14.45,520,0
20080312,14.45,17.25,13.75,15.75,8331,0
20080313,16,16.2,15,15.5,4769,0
20080314,15,15.75,14.25,14.7,3480,0
20080317,14.85,14.95,14.25,14.25,60,0
20080318,13.75,14.7,13.75,14.25,4280,0
20080319,14.5,15.25,14.5,15.25,60,0
20080320,14.75,15.45,13.05,15.25,6080,0
20080324,16.6,16.6,14,15.15,1320,0
20080325,15.15,15.2,14,15.2,2020,0
20080326,13.85,15.05,13.05,14,3440,0
20080327,14,15.3,13.05,15,4380,0
20080328,15,15,13.75,14.8,205488,0
20080331,15,15,13.8,14.85,10380,0
20080401,14.8,15,13.85,14.25,5740,0
20080402,14.5,15.3,13.75,15.3,3540,0
20080403,14.5,15.2,14.25,14.65,1702,0
20080404,14.75,14.75,14,14.15,1820,0
20080407,14.3,15.25,14.3,15.25,4873,0
20080408,15,15,14.8,14.85,700,0
20080409,14.5,15.1,14.5,15.1,83960,0
20080410,15.25,17.5,15.2,16.75,21340,0
20080411,17.25,17.75,17,17.5,3440,0
20080414,17.7,17.75,17.45,17.55,776,0
20080415,17.7,17.7,17.25,17.3,1592,0
20080416,17.1,17.3,16.25,16.75,1600,0
20080417,16.45,16.45,16,16.25,920,0
20080418,16,17.25,15.75,15.8,2150,0
20080421,15.75,16.75,15.5,16.2,6140,0
20080422,15.95,16.25,15.25,15.75,5935,0
20080423,16,16.5,16,16.3,2960,0
20080424,16.5,17.85,16.15,16.3,3640,0
20080425,15,16.5,15,16.4,5040,0
20080428,15.75,16.15,15.75,16.15,850,0
20080429,16.15,16.5,14,16,160656,0
20080430,17.45,17.5,15.95,16.7,3045,0
20080501,15.25,17.25,15.25,16,1607,0
20080502,16,16.5,16,16.45,1460,0
20080505,16.25,16.4,16.25,16.25,270,0
20080506,16.5,16.5,16,16.25,1331,0
20080507,16.7,16.7,15.6,16,3000,0
20080508,16,16,15.5,15.7,2180,0
20080509,15.5,15.55,14,14.9,5387,0
20080512,15.25,15.75,14.6,15.75,6685,0
20080513,15.25,15.25,14.75,14.75,3912,0
20080514,14.75,15.25,14.75,15.25,14487,0
20080515,15,15,15,15,140,0
20080516,14.15,15.9,14,15.9,13250,0
20080519,16.2,16.2,14.25,15.25,3014,0
20080520,15.25,16.25,15,16.25,560,0
20080521,16.25,16.75,15.15,16.75,2380,0
20080522,16.5,16.5,15.75,16,800,0
20080523,16,16,15.5,15.75,930,0
20080527,15.75,16.15,15,15.05,5350,0
20080528,15,15,14.25,14.3,2020,0
20080529,13.8,14.9,13.5,14.45,3034,0
20080530,15,15,13.8,14.7,2700,0
20080602,14.25,14.75,14,14,520,0
20080603,14.75,15.65,14.2,15.05,10906,0
20080604,15.1,17.9,15.1,16.5,29690,0
20080605,16.95,17,15.9,17,20426,0
20080606,17,17,15.25,16.3,2293,0
20080609,16.15,17,16.15,17,6562,0
20080610,17.75,17.75,16.75,17,3305,0
20080611,17.25,17.5,17,17,720,0
20080612,17,17.1,16.5,16.9,2000,0
20080613,16.9,17.1,16.45,17.1,2044,0
20080616,16.5,16.6,16.5,16.55,820,0
20080617,16.8,21.1,16.8,20.95,18838,0
20080618,22.7,22.7,20.5,20.75,10079,0
20080619,20.5,20.65,19.25,20.1,4095,0
20080620,19.5,19.95,18.75,19.75,1682,0
20080623,19.9,19.9,18,19.25,10570,0
20080624,19.7,19.95,18.6,19.75,4868,0
20080625,19.45,19.65,19,19.5,1546,0
20080626,19.25,19.5,18.7,19.25,1786,0
20080627,19.25,19.25,18.7,19,5394,0
20080630,19.45,19.5,18.75,19.25,1600,0
20080701,19,19.75,18.75,19.75,5168,0
20080702,19.05,19.25,16.8,17.9,8421,0
20080703,17.7,18.45,17.7,18.25,3232,0
20080707,18.45,18.95,18.25,18.95,3063,0
20080708,18.75,18.95,18.25,18.55,640,0
20080709,18.5,19.45,18.5,19.45,4481,0
20080710,19.6,19.6,19,19.15,2230,0
20080711,19,20.45,19,20.25,15032,0
20080714,20.5,21.1,19.25,19.65,7120,0
20080715,20.15,20.15,19.3,19.3,1000,0
20080716,19.3,19.7,19.25,19.7,1978,0
20080717,19.5,20.15,19.25,20.15,1590,0
20080718,19.9,20.3,19.5,20,6270,0
20080721,20,20,19.45,20,2300,0
20080722,19.75,20,19.5,19.55,1882,0
20080723,19.5,20,19.25,19.75,22141,0
20080724,20,20.15,20,20,3348,0
20080725,20.2,20.5,17.55,20,2380,0
20080728,19.5,20,19.45,19.75,842,0
20080729,19.75,19.75,18,18.5,3822,0
20080730,19,19,17.5,18,7824,0
20080731,18.25,18.25,17.25,17.5,5280,0
20080801,17.75,18.75,17.6,18.75,1561,0
20080804,20.25,20.5,18.75,19.75,3882,0
20080805,20,20,19.65,19.8,732,0
20080806,19.5,20.25,19.5,19.8,7288,0
20080807,20,20,19,19.5,540,0
20080808,19.25,20,19.25,20,580,0
20080811,20,20,19,19.75,602,0
20080812,19.15,19.75,18.55,19.3,1700,0
20080813,19.75,19.75,18.45,18.75,6030,0
20080814,18.75,19.5,18.7,19,7769,0
20080815,19,19,19,19,53,0
20080818,18.5,19,18.5,19,680,0
20080819,18.85,18.95,18.75,18.75,4340,0
20080820,19,20,18.75,18.75,9082,0
20080821,19.1,19.25,18.75,19.25,700,0
